event_id,symbol,fiscal_year,bad_news_realized,late_disclosure_q75,postponed,revision_count,predicted_bad_news_risk,risk_bucket,actual_disclosure,event_trading_date,car_m1_p1,car_0_p5,car_1_p20,car_m5_m1
163,000031,2023,1,1,0,0,0.9888302628414752,top_20_risk,2024-04-27,2024-04-29,0.09235796326079426,0.026236088610546937,0.011065928612578713,0.03888128565376403
164,002412,2023,0,1,0,0,0.013101161011927077,middle_60_risk,2024-04-27,2024-04-29,0.08002903412607165,0.14105229249163265,0.027967972825876375,0.02360008483193543
165,000757,2022,1,0,0,0,,not_test_year,2023-04-21,2023-04-21,-0.010791341601842919,0.008030838039564503,0.1199837056705999,-0.057626254620197326
166,002043,2021,0,1,0,0,,not_test_year,2022-04-28,2022-04-28,0.035403405520640474,0.036080506563297976,0.04233465353018839,-0.07620125754753626
167,605228,2021,0,1,0,0,,not_test_year,2022-04-29,2022-04-29,0.011904919217335608,0.08064898146534216,0.12779708963916891,-0.11662464145465223
168,000401,2023,1,0,0,0,0.9893650884766345,top_20_risk,2024-03-28,2024-03-28,-0.03628672341203176,-0.021954346643058065,-0.0442521600862007,-0.024815694273345512
169,002632,2021,1,0,0,0,,not_test_year,2022-04-26,2022-04-26,-0.10728088163881688,-0.07537025173863088,0.07614308054242913,0.006939374985124647
170,002539,2023,0,0,0,0,0.004060558766322889,bottom_20_risk,2024-04-13,2024-04-15,-0.051423914957276495,-0.022477276059237106,0.05391198889526361,0.013124386934423637
171,603377,2023,1,1,1,1,0.99184312635108,top_20_risk,2024-04-30,2024-05-06,-0.08518308352391313,-0.3182548341323449,-0.8145174366022768,0.06876855070710863
172,000016,2023,1,0,0,0,0.9881606417063481,top_20_risk,2024-04-02,2024-04-02,-0.02551351521667866,-0.07494357449393763,-0.10368115156831736,0.0017603687655383116
173,002415,2022,0,0,0,0,,not_test_year,2023-04-15,2023-04-17,-0.05990679267484811,-0.09824087292064165,-0.16136382310996844,-0.01348688877184323
174,603408,2023,0,0,0,0,0.0021331003566188384,bottom_20_risk,2024-03-30,2024-04-01,0.10653346855183377,0.17148134526135383,0.1601065769971839,0.05221402038576961
175,603369,2023,0,1,0,0,0.003073513492315354,bottom_20_risk,2024-04-30,2024-04-30,-0.055505635002496057,-0.05588891833484522,-0.07083518731167338,0.003401021034600271
176,605128,2023,0,0,0,0,0.0022515258924618005,bottom_20_risk,2024-03-29,2024-03-29,-0.038204526383679105,-0.04412736241678872,-0.10150329670824143,-0.01694987676060067
177,000555,2022,0,0,0,0,,not_test_year,2023-03-31,2023-03-31,0.01815207367058469,-0.005201246705076268,-0.10227558800066205,0.013744779317200972
178,600986,2022,1,0,0,1,,not_test_year,2023-04-25,2023-04-25,0.11273016981727979,0.11513796568041268,-0.06482954432667143,0.0268721692964482
179,000975,2023,0,0,0,0,0.004246044251326132,bottom_20_risk,2024-03-23,2024-03-25,-0.004025963301625746,0.11559290879179884,0.1151356978060799,-0.006241651714733121
180,002355,2023,1,1,0,0,0.9865828205796305,top_20_risk,2024-04-30,2024-04-30,0.07370403243203816,0.04189306977102869,-0.04112122525021711,0.06839634399967842
181,002166,2023,1,0,0,1,0.9746371715093995,top_20_risk,2024-04-10,2024-04-10,-0.007180204203023011,-0.12557308806369416,0.16120637262641446,0.0872195890899845
182,002286,2023,1,0,0,0,0.9948480510909616,top_20_risk,2024-02-07,2024-02-07,-0.10782968596907194,0.035230928468475864,0.15453880344426885,-0.2925628270969529
183,002027,2021,0,1,1,1,,not_test_year,2022-04-29,2022-04-29,0.06609715350255618,0.09799484457783936,0.09189988821179962,0.008367821837373945
184,601399,2023,0,0,0,0,0.014530542541345958,middle_60_risk,2024-04-24,2024-04-24,-0.020396195561155905,0.015774463036144937,-0.023843466299476868,0.009908292966149035
185,002279,2023,1,0,0,0,0.9977613761455746,top_20_risk,2024-04-26,2024-04-26,0.014606424233152948,-0.011166675848576224,-0.08874156818271783,0.03462668281747994
186,600983,2022,0,1,0,0,,not_test_year,2023-04-28,2023-04-28,-0.06639110381109559,-0.10485983723977799,-0.02458732951594178,-0.027139807807165628
187,605555,2023,0,0,0,0,0.003996476924515198,bottom_20_risk,2024-04-26,2024-04-26,0.019576400256513637,0.04244507562470845,0.041255320245797145,0.05604803912273759
188,601689,2021,0,0,0,0,,not_test_year,2022-04-15,2022-04-15,0.0003467395600320611,0.09406266950067199,0.17175161554178908,-0.0704035114453947
189,002657,2023,1,0,0,0,0.9682580933350731,middle_60_risk,2024-04-26,2024-04-26,0.03526862127759445,0.0010928356141910456,-0.08497266062034015,0.02558141654648083
190,002230,2022,1,0,0,0,,not_test_year,2023-04-21,2023-04-21,0.047703253721015804,-0.021016915195244623,0.03792123032366934,0.07287615345226728
191,601018,2021,0,0,0,0,,not_test_year,2022-03-30,2022-03-30,-0.007908306764394912,0.03734323648444826,0.05722123558489789,0.018531534556471607
192,603004,2023,0,0,0,0,0.0015951865387047756,bottom_20_risk,2024-04-26,2024-04-26,0.006547372669433282,0.06797428063199507,0.057710082471074564,0.01216647096519674
193,600855,2023,1,0,1,1,0.9946763362917318,top_20_risk,2024-04-02,2024-04-02,-0.04711029097723907,-0.062054168274012556,0.06164340638252708,-0.025253803878294345
194,603565,2023,0,0,0,1,0.0016574912778628721,bottom_20_risk,2024-03-27,2024-03-27,0.049962241268602825,0.09492467301222862,0.03167552423669395,0.03231066537351712
195,603626,2023,1,0,0,0,0.9951939655235217,top_20_risk,2024-04-18,2024-04-18,0.02992056921419395,0.021590599181053216,0.028950786997477662,-0.204383225310375
196,002506,2021,1,1,0,0,,not_test_year,2022-04-30,2022-05-05,0.09758644660136406,0.10210117068128721,0.14895661312766562,-0.06538988346472618
197,605319,2021,0,1,0,0,,not_test_year,2022-04-30,2022-05-05,0.0678630339708498,0.063819808261383,0.15597365768954785,-0.14123707810235786
198,002219,2022,0,0,0,0,,not_test_year,2023-04-14,2023-04-14,0.020312693973899454,-0.02566176055650904,-0.13225031494669226,0.06392937668380394
199,601609,2022,0,1,0,0,,not_test_year,2023-04-29,2023-05-04,-0.004193148297536253,0.008216811982458494,0.013326965614021913,0.031011694518417454
200,603069,2021,1,0,0,0,,not_test_year,2022-03-31,2022-03-31,0.12936922079734303,0.30414324978369367,-0.007601343010283479,-0.02674116930371917
201,601512,2021,0,0,0,0,,not_test_year,2022-04-16,2022-04-18,-0.003276305114309652,0.01512445891561609,0.06285211454484918,-0.12211126052466803
202,002348,2022,1,1,0,0,,not_test_year,2023-04-29,2023-05-04,0.09433000745227327,-0.006395463673820712,-0.009615992648359106,0.1215654683521249
203,600815,2023,1,0,0,0,0.9849395848117837,top_20_risk,2024-04-19,2024-04-19,-0.061598276253169604,-0.033984147430414335,-0.06205046768967537,-0.1745029589815763
204,603880,2023,1,0,0,0,0.9796162632959786,top_20_risk,2024-03-30,2024-04-01,-0.029979096557078422,-0.08002739545789006,-0.08271885873664198,-0.02933113723390568
205,001311,2023,0,0,0,0,0.0028001239306209387,bottom_20_risk,2024-04-19,2024-04-19,0.020803489700700895,0.06957873438871465,0.07506074508570582,-0.0397398203185767
206,002306,2023,1,1,1,1,0.9823791510514193,top_20_risk,2024-04-30,2024-04-30,0.06333727867014904,0.04767670381853495,-0.025771150569776746,0.03853457340104982
207,000601,2023,1,1,0,0,0.9939070746934864,top_20_risk,2024-04-27,2024-04-29,0.06619104099604167,0.08215018653289985,0.07773969934101388,0.016248889762243035
208,000591,2022,0,0,0,0,,not_test_year,2023-04-13,2023-04-13,0.025505378435904946,0.04240609547829499,0.030028668500407862,0.0015247432277141204
209,000733,2022,0,1,0,0,,not_test_year,2023-04-28,2023-04-28,0.02210216779922014,0.029885885597723538,0.08775887651878633,0.02896762064949132
210,603586,2021,1,1,0,0,,not_test_year,2022-04-28,2022-04-28,0.023492245150360747,0.07114840530941147,0.11299621043613173,-0.04751010978629444
211,000609,2021,1,0,1,1,,not_test_year,2022-04-12,2022-04-12,0.037543930196413,-0.006159053768235445,0.053195823274338805,0.06265290448795224
212,000767,2021,1,1,0,0,,not_test_year,2022-04-29,2022-04-29,0.014250199053480572,0.019124034165761805,0.2669005502412286,-0.013049567006378493
213,002317,2023,0,0,0,0,0.013701155966270277,middle_60_risk,2024-04-23,2024-04-23,0.0011166199669520038,0.05192177260350994,-0.04509195292625623,-0.023418682936897972
214,603609,2023,1,0,0,0,0.9876470299461089,top_20_risk,2024-03-30,2024-04-01,0.020696812365261774,0.018187559981309387,-0.0031131502522697696,-0.01270972136789883
215,603223,2023,0,0,0,0,0.006453453195899617,middle_60_risk,2024-04-18,2024-04-18,0.021102709494219662,-0.0762447240705253,-0.038097095764821565,-0.0585701121765303
216,000876,2021,1,1,0,1,,not_test_year,2022-04-28,2022-04-28,-0.05550284596442423,-0.047400995543590896,-0.04252087910377056,-0.06111757206251722
217,000735,2023,1,1,0,0,0.9962903628957996,top_20_risk,2024-04-27,2024-04-29,0.05824682089650057,0.07791334095786573,0.001179922507035469,0.03923900119839252
218,605081,2023,1,0,0,0,0.9860860087662605,top_20_risk,2024-04-26,2024-04-26,0.030553851134469845,0.0937411645568399,0.19847730334051117,0.004288565678959189
219,603983,2023,0,1,0,0,0.004933220537393178,middle_60_risk,2024-04-27,2024-04-29,0.06282347368347774,0.09162259846340659,0.031189990818223712,0.014358240947525358
220,605188,2023,0,0,0,0,0.17217725092439656,middle_60_risk,2024-04-26,2024-04-26,0.03589252255629838,0.06501057094540552,-0.009190279439213689,-0.05745170497649188
221,605333,2023,0,0,0,0,0.028683049988166297,middle_60_risk,2024-04-26,2024-04-26,0.10689850269680856,0.19072407423110316,0.0090057845750654,0.045840764991734506
222,605167,2023,0,0,0,1,0.004263951660948245,bottom_20_risk,2024-04-26,2024-04-26,0.0008662622242586737,-0.0063090586992213815,-0.05840757431640886,0.06501157608914776
223,001296,2023,0,0,0,0,0.0021771212867238306,bottom_20_risk,2024-04-20,2024-04-22,0.04919356552394771,0.024256215558699945,0.003379599096845487,-0.04948618569086338
224,601138,2023,0,0,0,0,0.002125353497325607,bottom_20_risk,2024-03-14,2024-03-14,-0.06203822953983973,0.029113768499213544,-0.013593210458545113,0.10164925470259578
225,000756,2023,0,0,0,0,0.004713105063976316,bottom_20_risk,2024-03-29,2024-03-29,0.008983903991688358,-0.01277376253784368,-0.03489996000500606,-0.05863020782627515
226,002105,2022,0,0,1,1,,not_test_year,2023-03-17,2023-03-17,-0.07296282294628231,-0.06966584212887983,-0.16336648731872805,-0.028418895934620547
227,603040,2023,0,1,0,0,0.0035263936570469733,bottom_20_risk,2024-04-27,2024-04-29,0.0009086094330681416,0.015800912651586452,0.018335751152338098,0.06918478786954718
228,002012,2021,0,0,0,0,,not_test_year,2022-03-29,2022-03-29,-0.026433061047249296,-0.021638389028081795,-0.1694745365060183,0.015466351589566218
229,002623,2022,0,1,0,0,,not_test_year,2023-04-28,2023-04-28,-0.02648098356022044,-0.010306311100498289,0.06212409970151678,-0.0020401805891629987
230,002008,2023,0,0,0,0,0.049491009822661816,middle_60_risk,2024-04-18,2024-04-18,0.06409916017100048,0.10514931287720719,0.07933324830892596,-0.017163799248270606
231,603797,2021,0,1,0,0,,not_test_year,2022-04-30,2022-05-05,0.07352520428116105,0.14210341054265507,0.0669273615181396,-0.08639030679737292
232,300490,2023,1,1,1,1,0.9879195429680523,top_20_risk,2024-04-27,2024-04-29,0.054165499823574326,0.08771757614703046,-0.002324157394407611,-0.017558087121900212
233,603773,2022,1,0,0,0,,not_test_year,2023-04-27,2023-04-27,0.04873360167173435,-0.09324830499283432,0.2471894365200702,-0.06638285216531281
234,603167,2023,0,0,0,0,0.000876924944243864,bottom_20_risk,2024-04-10,2024-04-10,0.07042879736980112,0.05630026359646978,-0.050438510276129,0.09657455252880776
235,000612,2023,0,0,0,0,0.0017783191512842544,bottom_20_risk,2024-03-30,2024-04-01,0.16889153024312087,0.22754947627986521,0.245899861139808,0.0697953318556096
236,000830,2023,1,1,0,0,0.990416871907583,top_20_risk,2024-04-30,2024-04-30,0.08607013148787301,0.05062792794586046,0.06349763600433955,0.04491795514695518
237,601038,2023,0,0,0,0,0.003091907283266997,bottom_20_risk,2024-03-28,2024-03-28,0.05749298353884702,0.07909435322088221,0.1330409414651228,-0.003484267368588534
238,002576,2021,0,0,0,0,,not_test_year,2022-04-26,2022-04-26,-0.09104895404463065,-0.017663253110029253,0.2954205791178339,-0.0838438685236178
239,002592,2023,0,0,0,0,0.001694434106881576,bottom_20_risk,2024-03-30,2024-04-01,-0.06314027347635875,-0.17370019325986508,-0.12841433350311005,0.016036311565825856
