event_id,symbol,fiscal_year,bad_news_realized,late_disclosure_q75,postponed,revision_count,predicted_bad_news_risk,risk_bucket,actual_disclosure,event_trading_date,car_m1_p1,car_0_p5,car_1_p20,car_m5_m1
44,605338,2023,0,0,0,0,0.005859809061174134,middle_60_risk,2024-03-29,2024-03-29,0.012525299183612892,0.021043737969178133,0.007113886269813241,-0.03949645377840916
45,603217,2023,0,0,0,0,0.00283394475884866,bottom_20_risk,2024-04-17,2024-04-17,-0.024716901296318983,-0.014407591723810342,0.11496451540240515,-0.10138122246259029
46,000554,2021,0,1,0,0,,not_test_year,2022-04-28,2022-04-28,0.0107907446885811,0.08369022852887342,0.2737806633857016,-0.08480918865215759
47,002403,2023,1,1,0,0,0.9940076882289413,top_20_risk,2024-04-29,2024-04-29,0.07141856042404282,0.08598359310182069,-0.029092411948413388,0.006369219566358719
48,605050,2023,0,0,0,0,0.005264556917060857,middle_60_risk,2024-04-16,2024-04-16,-0.06764382920877932,-0.03704714634753592,-0.045644666044573845,0.0023955166398350602
49,603235,2023,0,0,0,0,0.0029174997057982207,bottom_20_risk,2024-04-24,2024-04-24,-0.00974994596832035,0.0439896292337717,0.01026579219173096,0.14121914328455665
50,002584,2022,1,1,0,0,,not_test_year,2023-04-29,2023-05-04,-0.002054879308307167,-0.17545443215181566,-0.08024764447299215,0.009477505115666252
51,605398,2022,0,0,0,0,,not_test_year,2023-04-13,2023-04-13,-0.005575568324666325,-0.04480788700176763,-0.1275706253361365,0.08081385493094484
52,603712,2021,0,1,0,0,,not_test_year,2022-04-28,2022-04-28,-0.0016345850629199132,0.05371563819551539,-0.00198289002213059,-0.06090785128656606
53,000525,2022,0,1,0,0,,not_test_year,2023-04-29,2023-05-04,-0.0013750626633655116,-0.12610776442369187,0.18535519300146852,-0.03668787924086214
54,000978,2022,1,0,1,1,,not_test_year,2023-04-15,2023-04-17,-0.10503663398861973,-0.09510735475759391,-0.15146227816661195,0.04871122219371882
55,002157,2021,1,1,0,0,,not_test_year,2022-04-30,2022-05-05,-0.03648762388308713,-0.014547469062109353,0.013555625104036517,-0.06314561927009155
56,601858,2023,0,1,0,0,0.004320516335115698,bottom_20_risk,2024-04-27,2024-04-29,0.0035039559729095338,-0.034300455429448484,-0.10574404142588378,-0.022319651232313387
57,002331,2021,1,0,0,0,,not_test_year,2022-04-27,2022-04-27,-0.07038704873844115,0.05004425591415007,0.036512543631915806,-0.14562199807346998
58,000690,2023,0,0,0,1,0.002055785085275214,bottom_20_risk,2024-04-09,2024-04-09,0.08134525312887064,0.07551801741810249,0.02254753310544577,0.062102894822148924
59,002524,2023,0,0,0,0,0.7860926862442151,middle_60_risk,2024-04-25,2024-04-25,-0.043213163005702215,-0.015326212087218405,-0.12331424435276894,0.036754790015931516
60,000852,2023,0,0,0,0,0.0037671107868343444,bottom_20_risk,2024-04-26,2024-04-26,-0.017366602929272168,-0.02398915987682726,-0.05398911469445822,-0.015386135986333205
61,605298,2023,0,1,0,1,0.020142465359432832,middle_60_risk,2024-04-29,2024-04-29,-0.04460399055199482,0.020271081307403405,-0.020290220239588597,0.012744443407573303
62,603650,2023,0,0,0,0,0.01049256082196679,middle_60_risk,2024-04-25,2024-04-25,-0.011668789692876103,-0.025458269723708016,0.03471685457836149,0.15465253604450324
63,603596,2023,0,0,0,0,0.001144233572486308,bottom_20_risk,2024-03-28,2024-03-28,-0.04942710031172248,-0.026204473639051318,-0.006953056440053396,-0.015558660143000336
64,603619,2023,0,1,0,0,0.003445188894134003,bottom_20_risk,2024-04-30,2024-04-30,-0.05785610979890077,-0.021509093436823834,0.018701251398789198,-0.07037340478726761
