group,window_day,mean_cumulative_abnormal_return,se_cumulative_abnormal_return,events,ci_low,ci_high
Early/middle disclosure,6,0.013133883447212164,0.01031229449057294,157,-0.007078213754310796,0.033345980648735125
Early/middle disclosure,7,0.014300954608362367,0.010562183290946593,157,-0.0064009246418929525,0.03500283385861769
Early/middle disclosure,8,0.005529477847747158,0.010661246805134838,157,-0.015366565890317124,0.02642552158581144
Early/middle disclosure,9,0.002194531585011878,0.010913674742941174,157,-0.01919627091115282,0.02358533408117658
Early/middle disclosure,10,0.005163948683756777,0.011321316062917973,157,-0.01702583079956245,0.027353728167076
Early/middle disclosure,11,0.0018731449657450445,0.011332938726458224,157,-0.020339414938113077,0.024085704869603163
Early/middle disclosure,12,0.00674497633040588,0.011638243439222972,157,-0.016065980810471146,0.029555933471282905
Early/middle disclosure,13,0.006475355498026682,0.011436071063620294,157,-0.015939343786669096,0.028890054782722458
Early/middle disclosure,14,0.005514067086481478,0.011251037640726498,157,-0.016537966689342456,0.027566100862305414
Early/middle disclosure,15,0.0057426424731982185,0.011457680818368218,157,-0.01671441193080349,0.028199696877199927
Early/middle disclosure,16,0.005343625359796021,0.011478654075150306,157,-0.01715453662749858,0.02784178734709062
Early/middle disclosure,17,0.005356213564476975,0.011751365543785582,157,-0.017676462901342768,0.028388890030296716
Early/middle disclosure,18,0.006150289631967458,0.011438530108834357,157,-0.016269229381347883,0.028569808645282798
Early/middle disclosure,19,0.0037615570367372365,0.011827153811622365,157,-0.019419664434042597,0.02694277850751707
Early/middle disclosure,20,0.003332499459607628,0.011953649689860056,157,-0.020096653932518083,0.02676165285173334
Late disclosure,-20,-0.0002682628607075023,0.003047160074118129,83,-0.006240696605979035,0.005704170884564029
Late disclosure,-19,-0.0006831991345025983,0.004095865372171809,83,-0.008711095263959344,0.007344696994954147
Late disclosure,-18,0.0032313856996110915,0.005849403357839937,83,-0.008233444881755186,0.014696216280977368
Late disclosure,-17,-0.0032746409683414718,0.00752550368855269,83,-0.018024628197904742,0.0114753462612218
Late disclosure,-16,-0.006205404013810439,0.00779547170991698,83,-0.02148452856524772,0.009073720537626843
Late disclosure,-15,-0.009934872502602258,0.008665924849896312,83,-0.02692008520839903,0.007050340203194514
Late disclosure,-14,-0.012006383758754334,0.008614743351638669,83,-0.028891280727966123,0.004878513210457456
Late disclosure,-13,-0.01571692935800283,0.009265501800175624,83,-0.03387731288634706,0.002443454170341395
Late disclosure,-12,-0.01725973172063381,0.009685667570109503,83,-0.036243640158048436,0.0017241767167808161
Late disclosure,-11,-0.03332511329285143,0.011305272643465994,83,-0.05548344767404477,-0.011166778911658081
Late disclosure,-10,-0.06793589779806937,0.012689161749109092,83,-0.09280665482632319,-0.043065140769815546
Late disclosure,-9,-0.0797020281242838,0.012009493935169925,83,-0.10324063623721685,-0.056163420011350745
Late disclosure,-8,-0.06782772218467982,0.010749537717477504,83,-0.08889681611093572,-0.04675862825842391
Late disclosure,-7,-0.06912604245063195,0.011224930872292859,83,-0.09112690696032595,-0.04712517794093794
Late disclosure,-6,-0.07525406986847229,0.012350281020055184,83,-0.09946062066778044,-0.051047519069164125
Late disclosure,-5,-0.07420014435170576,0.01152423378228025,83,-0.09678764256497505,-0.05161264613843647
Late disclosure,-4,-0.06997004396407859,0.011437648314877891,83,-0.09238783466123926,-0.04755225326691792
Late disclosure,-3,-0.07426717158700169,0.01139364891327498,83,-0.09659872345702064,-0.05193561971698273
Late disclosure,-2,-0.08099220097701365,0.011659279726092852,83,-0.10384438924015564,-0.05814001271387166
Late disclosure,-1,-0.0755190484055422,0.01139040752527569,83,-0.09784424715508255,-0.05319384965600185
Late disclosure,0,-0.06384112799516602,0.01251798370903947,83,-0.08837637606488338,-0.03930587992544866
Late disclosure,1,-0.05644138479954033,0.013539718347246675,83,-0.08297923276014381,-0.029903536838936845
