序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
11,603117,万林物流,扣除非经常性损益后的净利润,"预计2021年1-12月扣除非经常性损益后的净利润亏损:24,000万元至28,800万元。",-264000000.0,-709.695,"受全球新冠肺炎疫情及国内外经济形势变化的持续影响,部分客户回款及结算滞后,导致实际回款结算周期相对较长。公司依据谨慎性原则,并考虑前瞻性影响,经反复分析测试,预期损失率增加及账龄增加,导致公司报告期内拟计提的信用减值损失大幅增加,公司利润下降。本次业绩预告更正系公司财务部门根据市场环境及客户实际情况进行论证后,对计提的部分信用减值准备及资产减值准备进行调整导致。主要调整事项为:根据境外林业资产组未来现金流量现值估算林业砍伐权价值计提的资产减值准备和根据对客户实际情况分析计提的信用减值损失对归属于上市公司股东净利润的影响。",首亏,43300154.1,2022-04-29
12,603117,万林物流,归属于上市公司股东的净利润,"预计2021年1-12月归属于上市公司股东的净利润亏损:24,000万元至28,800万元。",-264000000.0,-650.65,"受全球新冠肺炎疫情及国内外经济形势变化的持续影响,部分客户回款及结算滞后,导致实际回款结算周期相对较长。公司依据谨慎性原则,并考虑前瞻性影响,经反复分析测试,预期损失率增加及账龄增加,导致公司报告期内拟计提的信用减值损失大幅增加,公司利润下降。本次业绩预告更正系公司财务部门根据市场环境及客户实际情况进行论证后,对计提的部分信用减值准备及资产减值准备进行调整导致。主要调整事项为:根据境外林业资产组未来现金流量现值估算林业砍伐权价值计提的资产减值准备和根据对客户实际情况分析计提的信用减值损失对归属于上市公司股东净利润的影响。",首亏,47943300.0,2022-04-29
13,600545,卓郎智能,归属于上市公司股东的净利润,"预计2021年1-12月归属于上市公司股东的净利润亏损约:46,000万元。",-460000000.0,17.86,"公司已在原业绩预告公告中进行了充分风险提示,就原业绩预告公告披露时,“公司基于对客户目前出现违约概率的合理判断,对应收账款坏账准备进行测算,若2021年年度报告披露前客户的偿付能力情况出现变化,将影响公司本次业绩预告的准确性。”鉴于上述情况,公司经过与审计师沟通,并对客户预期信用损失率进行充分评估,基于谨慎性原则,预计应收账款坏账准备金将导致归属于上市公司股东的净利润减少约2亿元。",减亏,-560000000.0,2022-04-28
14,600293,三峡新材,扣除非经常性损益后的净利润,"预计2021年1-12月扣除非经常性损益后的净利润盈利约:37,000万元。",370000000.0,117.96,"业绩预告时误将其他应收-深圳恒波(报告期内处置的子公司)的往来的损失计入信用减值损失核算,作为经常性损益列报。根据会计准则的要求,投资方在确认应分担被投资单位发生的亏损时,应将长期股权投资及其他实质上构成对被投资单位净投资的长期权益项目的账面价值综合起来考虑,在长期股权投资的账面价值减记至零的情况下,如果仍有未确认的投资损失,应以其他长期权益的账面价值为基础继续确认,年审时将承担的深圳恒波商业连锁有限公司的信用减值损失计入投资收益中按照非经常性损益反映。本次调整将导致2021年度归属于上市公司股东的扣除非经常性损益的净利润为37000万元左右。本次调整不影响公司对归属于上市公司股东净利润的预计。",扭亏,-2060538300.0,2022-04-28
15,300176,鸿特科技,扣除非经常性损益后的净利润,"预计2021年1-12月扣除非经常性损益后的净利润亏损:4,900万元至5,500万元。",-52000000.0,-596.535,"公司本次业绩预告修正的主要原因如下:公司于2020年1有1日起执行《企业会计准则第14号收入》(以下简称《新“收入准则”》,根据《新收入准则》要求,及公司执行的具体收入政策,公司产品销售业务在“在客户取得相关商品或服务的控制权时、已收取价款或取得收款权利且相关的经济利益很可能流入时确认营业收入“,公司产品交付前所提供的运输服务、包装物及出口关税,属于销售合同规定的履约义务,不构成单项履约义务,相应运输成本、包装成本、出口关税应作为合同履约成本,采用与商品或服务收入确认相同的基础进行摊销计入营业成本核算。据此,公司于2022年4月27日召开了第五届董事会第三次会议、第五届监事会第三次会议,会议审议通过了《关于前期会计差错更正的议案》,同意公司根据《企业会计准则第28号—会计政策、会计估计变更和差错更正》、中国证券监督管理委员会关于《公开发行证券的公司信息披露编报规则第19号—财务信息的更正及相关披露》等相关规定,对公司2020年度财务报表进行追溯重述,前述会计差错更正对公司2021年度净利润产生较大影响,导致当前业绩预测数超出前次业绩预告区间范围且偏离值达到业绩修正披露要求,因此须对前次2021年度业绩预告作出上述修正。",首亏,10472600.0,2022-04-28
16,300176,鸿特科技,归属于上市公司股东的净利润,"预计2021年1-12月归属于上市公司股东的净利润亏损:4,400万元至5,000万元。",-47000000.0,-325.075,"公司本次业绩预告修正的主要原因如下:公司于2020年1有1日起执行《企业会计准则第14号收入》(以下简称《新“收入准则”》,根据《新收入准则》要求,及公司执行的具体收入政策,公司产品销售业务在“在客户取得相关商品或服务的控制权时、已收取价款或取得收款权利且相关的经济利益很可能流入时确认营业收入“,公司产品交付前所提供的运输服务、包装物及出口关税,属于销售合同规定的履约义务,不构成单项履约义务,相应运输成本、包装成本、出口关税应作为合同履约成本,采用与商品或服务收入确认相同的基础进行摊销计入营业成本核算。据此,公司于2022年4月27日召开了第五届董事会第三次会议、第五届监事会第三次会议,会议审议通过了《关于前期会计差错更正的议案》,同意公司根据《企业会计准则第28号—会计政策、会计估计变更和差错更正》、中国证券监督管理委员会关于《公开发行证券的公司信息披露编报规则第19号—财务信息的更正及相关披露》等相关规定,对公司2020年度财务报表进行追溯重述,前述会计差错更正对公司2021年度净利润产生较大影响,导致当前业绩预测数超出前次业绩预告区间范围且偏离值达到业绩修正披露要求,因此须对前次2021年度业绩预告作出上述修正。",首亏,20881700.0,2022-04-28
17,300027,ST华谊,归属于上市公司股东的净利润,"预计2021年1-12月归属于上市公司股东的净利润亏损:24,600万元至25,000万元。",-248000000.0,76.34,"公司本次业绩预告修正的主要原因是市场环境变化导致的股权投资估值下降。首先,2021年8月,为进一步提高经营效率、聚焦以内容运营为核心的轻资产商业模式,同时亦为优化华谊兄弟(天津)实景娱乐有限公司(以下简称“实景娱乐”)股权结构、为其未来的跨越式发展创造更大空间,公司向实景娱乐持股39%的第二大股东西藏景源企业管理有限公司(以下简称“西藏景源”)转让实景娱乐15%的股权。该次交易后,公司持有实景娱乐39%的股权,实景娱乐不再纳入公司合并报表范围。交易完成后,公司对现有业务、人员等进行仔细全面的梳理,实景娱乐未来的业务布局、日常经营决策和推进、人员管理等相关工作已经完成实质性交接,实景娱乐的业务在西藏景源现有团队控制下延续历史项目的推进,并稳步推进新项目的拓展工作。2021年底,新冠疫情在全国范围内突发反复并持续至2022年一季度末,期间各地文旅项目的运营情况受到了不可预期的冲击,造成项目收入骤降,并同时对实景项目的实地考察、合作方沟通、新项目洽谈推进等业务经营拓展造成了较大阻碍,导致整体业务进展放缓。基于对疫情反复冲击对业务经营造成阶段性影响的谨慎性考量和对未来的盈利预测的重新评估;同时,根据《2016年上市公司年报会计监管报告》:“如果剩余股权不存在活跃市场报价,不应简单根据股权处置交易价格确认剩余股权的公允价值,还应综合考虑活跃市场中类似资产的报价、非活跃市场中相同或类似资产的报价等相关信息,并在此基础上考虑控制权溢价、少数股权折价等因素对公允价值进行合理估计。”在对实景娱乐股权价值评估的过程中,结合因不再对实景娱乐实施控制权而导致的控制权溢价等因素的影响,对实景娱乐的公允价值进行审慎的评估和判断,并依据更新后的股权估值对公司目前持有的39%的股权价值进行调整,也由此导致前次业绩预告披露的归属于上市公司股东的净利润下降1.67亿元。其次,公司结合市场环境变化以及被投公司新环境下业务项目推进进度、业务收益的实现情况预期等进行谨慎的评估和判断,对被投公司的估值进行审慎的评估和判断,进而对长期股权投资及商誉的减值重新考量和计算。经过审慎的计算和评估,公司对浙江东阳美拉传媒有限公司的商誉以及对有浙江东阳浩瀚影视娱乐有限公司的长期股权投资计提减值准备,由此导致前次业绩预告披露的归属于上市公司股东的净利润下降0.72亿元。另外,公司的影院业务中租赁资产的占比较大,根据2021年1月1日开始执行的《企业会计准则第21号——租赁》,报告期初调整确认租赁使用权资产52,690.97万元。受新冠疫情的不可预期影响,影院间断性地出现暂停营业的情况,导致影院的盈利情况预计在逐步恢复的过程中存在业绩的起伏,公司对各家影院的使用权资产及固定资产的减值进行审慎的评估,并对预计业绩受疫情影响较大的小部分影院计提减值准备,由此导致前次业绩预告披露的归属于上市公司股东的净利润下降0.49亿元。报告期内,公司的基本面及主营业务、核心竞争力、主要财务指标等均未发生重大不利变化,与行业整体趋势保持一致。公司在全面落实、保障疫情防控工作的基础上,不断强化影视主营业务的核心竞争力,采取多种积极举措优化业务结构,提高经营效率、加速推进已开机项目进程;同时,公司持续整合优化资源配置,不断强化轻资产运营模式,逐步退出部分与主营业务整合度较低、与公司产业链协同度薄弱的投资项目,回流资金用于补充流动资金、支持核心主营,更好推进公司的主营发展战略。",减亏,-1048060000.0,2022-04-28
18,300027,ST华谊,扣除非经常性损益后的净利润,"预计2021年1-12月扣除非经常性损益后的净利润亏损:107,300万元至107,400万元。",-1073500000.0,-5.41,"公司本次业绩预告修正的主要原因是市场环境变化导致的股权投资估值下降。首先,2021年8月,为进一步提高经营效率、聚焦以内容运营为核心的轻资产商业模式,同时亦为优化华谊兄弟(天津)实景娱乐有限公司(以下简称“实景娱乐”)股权结构、为其未来的跨越式发展创造更大空间,公司向实景娱乐持股39%的第二大股东西藏景源企业管理有限公司(以下简称“西藏景源”)转让实景娱乐15%的股权。该次交易后,公司持有实景娱乐39%的股权,实景娱乐不再纳入公司合并报表范围。交易完成后,公司对现有业务、人员等进行仔细全面的梳理,实景娱乐未来的业务布局、日常经营决策和推进、人员管理等相关工作已经完成实质性交接,实景娱乐的业务在西藏景源现有团队控制下延续历史项目的推进,并稳步推进新项目的拓展工作。2021年底,新冠疫情在全国范围内突发反复并持续至2022年一季度末,期间各地文旅项目的运营情况受到了不可预期的冲击,造成项目收入骤降,并同时对实景项目的实地考察、合作方沟通、新项目洽谈推进等业务经营拓展造成了较大阻碍,导致整体业务进展放缓。基于对疫情反复冲击对业务经营造成阶段性影响的谨慎性考量和对未来的盈利预测的重新评估;同时,根据《2016年上市公司年报会计监管报告》:“如果剩余股权不存在活跃市场报价,不应简单根据股权处置交易价格确认剩余股权的公允价值,还应综合考虑活跃市场中类似资产的报价、非活跃市场中相同或类似资产的报价等相关信息,并在此基础上考虑控制权溢价、少数股权折价等因素对公允价值进行合理估计。”在对实景娱乐股权价值评估的过程中,结合因不再对实景娱乐实施控制权而导致的控制权溢价等因素的影响,对实景娱乐的公允价值进行审慎的评估和判断,并依据更新后的股权估值对公司目前持有的39%的股权价值进行调整,也由此导致前次业绩预告披露的归属于上市公司股东的净利润下降1.67亿元。其次,公司结合市场环境变化以及被投公司新环境下业务项目推进进度、业务收益的实现情况预期等进行谨慎的评估和判断,对被投公司的估值进行审慎的评估和判断,进而对长期股权投资及商誉的减值重新考量和计算。经过审慎的计算和评估,公司对浙江东阳美拉传媒有限公司的商誉以及对有浙江东阳浩瀚影视娱乐有限公司的长期股权投资计提减值准备,由此导致前次业绩预告披露的归属于上市公司股东的净利润下降0.72亿元。另外,公司的影院业务中租赁资产的占比较大,根据2021年1月1日开始执行的《企业会计准则第21号——租赁》,报告期初调整确认租赁使用权资产52,690.97万元。受新冠疫情的不可预期影响,影院间断性地出现暂停营业的情况,导致影院的盈利情况预计在逐步恢复的过程中存在业绩的起伏,公司对各家影院的使用权资产及固定资产的减值进行审慎的评估,并对预计业绩受疫情影响较大的小部分影院计提减值准备,由此导致前次业绩预告披露的归属于上市公司股东的净利润下降0.49亿元。报告期内,公司的基本面及主营业务、核心竞争力、主要财务指标等均未发生重大不利变化,与行业整体趋势保持一致。公司在全面落实、保障疫情防控工作的基础上,不断强化影视主营业务的核心竞争力,采取多种积极举措优化业务结构,提高经营效率、加速推进已开机项目进程;同时,公司持续整合优化资源配置,不断强化轻资产运营模式,逐步退出部分与主营业务整合度较低、与公司产业链协同度薄弱的投资项目,回流资金用于补充流动资金、支持核心主营,更好推进公司的主营发展战略。",增亏,-1018411100.0,2022-04-28
19,002862,实丰文化,归属于上市公司股东的净利润,"预计2021年1-12月归属于上市公司股东的净利润亏损:100万元至300万元,同比上年增长:92.68%至97.56%。",-2000000.0,95.12,"基于谨慎性原则,对公司2021年末存在可能发生减值迹象的资产合理计提资产减值损失,影响净利润由盈利变为亏损。本次业绩预告修正主要系对长期股权投资等资产计提的减值损失增加所致。",减亏,-40984100.0,2022-04-28
20,002862,实丰文化,每股收益,预计2021年1-12月每股收益亏损:0.008元至0.025元。,-0.0165,,"基于谨慎性原则,对公司2021年末存在可能发生减值迹象的资产合理计提资产减值损失,影响净利润由盈利变为亏损。本次业绩预告修正主要系对长期股权投资等资产计提的减值损失增加所致。",减亏,-0.34,2022-04-28
21,002862,实丰文化,扣除非经常性损益后的净利润,"预计2021年1-12月扣除非经常性损益后的净利润亏损:1,900万元至2,100万元,同比上年增长:47.13%至52.17%。",-20000000.0,49.65,"基于谨慎性原则,对公司2021年末存在可能发生减值迹象的资产合理计提资产减值损失,影响净利润由盈利变为亏损。本次业绩预告修正主要系对长期股权投资等资产计提的减值损失增加所致。",减亏,-39722200.0,2022-04-28
22,002586,ST围海,扣除后营业收入,"预计2021年1-12月扣除后营业收入:254,800万元至258,000万元。",2564000000.0,,"(1)公司于2022年1月29日发布业绩预告时,由于刚对上海千年恢复控制,其具体财务状况、经营成果尚需审计确认,具体影响需待审计结束后方可确定。鉴于2019年年报无法表示意见形成的基础之一为“公司在2019年对其2017年收购上海千年城市规划工程设计股份有限公司89.45975%股权形成的商誉70,080.50万元全额计提了减值准备。会计师无法就上述商誉减值准备的合理性获取充分、适当的审计证据。”公司聘请中介机构对收购上海千年形成的商誉于2019年末的减值情况重新测试、同时对上海千年在2020年末、2021年末长期股权投资价值进行评估、并对2021年末商誉价值进行减值测试。根据中介机构初步出具上海千年审计、评估结果,公司预计2021年度需计提上海千年商誉减值损失约12,000万元。(2)部分子公司及文创板块因资金困难,公司补充计提(确认)各项资产减值、投资损失约6,000万元。",略增,1971753200.0,2022-04-28
23,002586,ST围海,营业收入,"预计2021年1-12月营业收入:255,000万元至260,000万元。",2575000000.0,30.375,"(1)公司于2022年1月29日发布业绩预告时,由于刚对上海千年恢复控制,其具体财务状况、经营成果尚需审计确认,具体影响需待审计结束后方可确定。鉴于2019年年报无法表示意见形成的基础之一为“公司在2019年对其2017年收购上海千年城市规划工程设计股份有限公司89.45975%股权形成的商誉70,080.50万元全额计提了减值准备。会计师无法就上述商誉减值准备的合理性获取充分、适当的审计证据。”公司聘请中介机构对收购上海千年形成的商誉于2019年末的减值情况重新测试、同时对上海千年在2020年末、2021年末长期股权投资价值进行评估、并对2021年末商誉价值进行减值测试。根据中介机构初步出具上海千年审计、评估结果,公司预计2021年度需计提上海千年商誉减值损失约12,000万元。(2)部分子公司及文创板块因资金困难,公司补充计提(确认)各项资产减值、投资损失约6,000万元。",略增,1975083100.0,2022-04-28
24,002586,ST围海,每股收益,预计2021年1-12月每股收益亏损:0.0218元至0.0262元。,-0.024,,"(1)公司于2022年1月29日发布业绩预告时,由于刚对上海千年恢复控制,其具体财务状况、经营成果尚需审计确认,具体影响需待审计结束后方可确定。鉴于2019年年报无法表示意见形成的基础之一为“公司在2019年对其2017年收购上海千年城市规划工程设计股份有限公司89.45975%股权形成的商誉70,080.50万元全额计提了减值准备。会计师无法就上述商誉减值准备的合理性获取充分、适当的审计证据。”公司聘请中介机构对收购上海千年形成的商誉于2019年末的减值情况重新测试、同时对上海千年在2020年末、2021年末长期股权投资价值进行评估、并对2021年末商誉价值进行减值测试。根据中介机构初步出具上海千年审计、评估结果,公司预计2021年度需计提上海千年商誉减值损失约12,000万元。(2)部分子公司及文创板块因资金困难,公司补充计提(确认)各项资产减值、投资损失约6,000万元。",减亏,-0.24,2022-04-28
25,002586,ST围海,扣除非经常性损益后的净利润,"预计2021年1-12月扣除非经常性损益后的净利润亏损:12,600万元至12,800万元,同比上年增长:6.98%至8.44%。",-127000000.0,7.71,"(1)公司于2022年1月29日发布业绩预告时,由于刚对上海千年恢复控制,其具体财务状况、经营成果尚需审计确认,具体影响需待审计结束后方可确定。鉴于2019年年报无法表示意见形成的基础之一为“公司在2019年对其2017年收购上海千年城市规划工程设计股份有限公司89.45975%股权形成的商誉70,080.50万元全额计提了减值准备。会计师无法就上述商誉减值准备的合理性获取充分、适当的审计证据。”公司聘请中介机构对收购上海千年形成的商誉于2019年末的减值情况重新测试、同时对上海千年在2020年末、2021年末长期股权投资价值进行评估、并对2021年末商誉价值进行减值测试。根据中介机构初步出具上海千年审计、评估结果,公司预计2021年度需计提上海千年商誉减值损失约12,000万元。(2)部分子公司及文创板块因资金困难,公司补充计提(确认)各项资产减值、投资损失约6,000万元。",减亏,-137608600.0,2022-04-28
26,002586,ST围海,归属于上市公司股东的净利润,"预计2021年1-12月归属于上市公司股东的净利润亏损:2,500万元至3,000万元,同比上年增长:88.96%至90.8%。",-27500000.0,89.88,"(1)公司于2022年1月29日发布业绩预告时,由于刚对上海千年恢复控制,其具体财务状况、经营成果尚需审计确认,具体影响需待审计结束后方可确定。鉴于2019年年报无法表示意见形成的基础之一为“公司在2019年对其2017年收购上海千年城市规划工程设计股份有限公司89.45975%股权形成的商誉70,080.50万元全额计提了减值准备。会计师无法就上述商誉减值准备的合理性获取充分、适当的审计证据。”公司聘请中介机构对收购上海千年形成的商誉于2019年末的减值情况重新测试、同时对上海千年在2020年末、2021年末长期股权投资价值进行评估、并对2021年末商誉价值进行减值测试。根据中介机构初步出具上海千年审计、评估结果,公司预计2021年度需计提上海千年商誉减值损失约12,000万元。(2)部分子公司及文创板块因资金困难,公司补充计提(确认)各项资产减值、投资损失约6,000万元。",减亏,-271737300.0,2022-04-28
27,002366,融发核电,营业收入,"预计2021年1-12月营业收入:40,000万元至42,000万元。",410000000.0,-6.83,"随着年度审计工作的深入,在会计师事务所的指导下,对信用减值损失和资产减值损失进行了重新测算。",略减,440057700.0,2022-04-28
28,002366,融发核电,扣除非经常性损益后的净利润,"预计2021年1-12月扣除非经常性损益后的净利润亏损:80,000万元至82,000万元,同比上年增长:38.91%至40.41%。",-810000000.0,39.66,"随着年度审计工作的深入,在会计师事务所的指导下,对信用减值损失和资产减值损失进行了重新测算。",减亏,-1342386500.0,2022-04-28
29,002366,融发核电,每股收益,预计2021年1-12月每股收益亏损:0.92元至0.97元。,-0.945,,"随着年度审计工作的深入,在会计师事务所的指导下,对信用减值损失和资产减值损失进行了重新测算。",减亏,-1.73,2022-04-28
