序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
11,688535,华海诚科,归属于上市公司股东的净利润,预计2019年1-12月归属于上市公司股东的净利润盈利:450万元至550万元。,5000000.0,113.675,"2019年上半年集成电路行业需求低迷,公司产能利用率较低,业绩表现疲软,下半年开始行业景气度回升,公司订单回升,产能利用率逐步提高,公司借机调整产品结构,毛利率也随之改善,净利润显著提升。",预增,2340000.0,2020-04-30
12,600599,*ST熊猫,归属于上市公司股东的净利润,"预计2019年1-12月归属于上市公司股东的净利润亏损:9,000万元-9,500万元。",-92500000.0,-68.065,"公司于2019年12月12日处置熊猫资本管理有限公司(现已更名为磴口县久利信息技术有限公司,以下简称“久利信息”)100%股权,前次预测基于此事实确认投资收益2,001.49万元;因为不再纳入合并范围,公司对久利信息的往来确认减值损失1,555.87万元,以上对利润表的影响数为445.63万元。2020年1月20日,磴口县市场监督管理局对久利信息下发了《撤销行政许可决定书》,决定撤销久利信息于2019年12月12日变更登记的行政许可。公司于2020年3月11日获悉上述事项并进行了相应公告。受上述事项的影响,公司转让久利信息股权的交易事项未能完成相应的股权过户手续,期末久利信息仍纳入上市公司合并范围,前述投资收益及往来减值损失对上市公司的影响445.63万元冲回,久利信息12月利润表并入上市公司合并范围,久利信息12月新增减值损失834.17万元,上述事项导致了本次经营数据与前次预测存在较大差异。",增亏,-55038600.0,2020-04-30
13,600599,*ST熊猫,扣除非经常性损益后的净利润,"预计2019年1-12月扣除非经常性损益后的净利润亏损:11,000万元-11,500万元。",-112500000.0,-336.31,"公司于2019年12月12日处置熊猫资本管理有限公司(现已更名为磴口县久利信息技术有限公司,以下简称“久利信息”)100%股权,前次预测基于此事实确认投资收益2,001.49万元;因为不再纳入合并范围,公司对久利信息的往来确认减值损失1,555.87万元,以上对利润表的影响数为445.63万元。2020年1月20日,磴口县市场监督管理局对久利信息下发了《撤销行政许可决定书》,决定撤销久利信息于2019年12月12日变更登记的行政许可。公司于2020年3月11日获悉上述事项并进行了相应公告。受上述事项的影响,公司转让久利信息股权的交易事项未能完成相应的股权过户手续,期末久利信息仍纳入上市公司合并范围,前述投资收益及往来减值损失对上市公司的影响445.63万元冲回,久利信息12月利润表并入上市公司合并范围,久利信息12月新增减值损失834.17万元,上述事项导致了本次经营数据与前次预测存在较大差异。",增亏,-25784378.76,2020-04-30
14,002640,跨境通,归属于上市公司股东的净利润,预计2019年1-12月归属于上市公司股东的净利润亏损:270800万元。,-2708000000.0,-536.77,"1、业绩预告差异情况。公司本次修正后的业绩预告与公司2020年2月3日披露的《2019年度业绩预告》(公告编号:2020-009)存在差异,公司2019年度预计归属于上市公司股东的净利润由亏损14.3亿元至11.3亿元修正为亏损27.08亿元。2、造成上述差异的主要原因说明。受国内外新型冠状病毒疫情影响,公司及各中介机构严格遵循各地方政府相关防控措施及复工安排,财务核算、审计及评估工作进展及效率受到较大的影响。此外,2020年3月以来,环球易购海外主要目标市场的新型冠状病毒疫情有所加重,各国政府虽已采取不同程度的管控措施以限制人员流动和防止疫情的进一步扩散,但当前全球疫情尚未得到完全控制,公司亦根据疫情下的经营情况审视未来经营可能遭遇的风险因素及盈利预测的可实现性,综合分析研判未来经营年度的经营预测及资产组预计未来现金流量的合理预测。随着公司内部核算及内、外部审计工作的推进,公司根据实际情况及外部环境影响,基于谨慎性原则,公司对2019年度各类资产进行了全面清查和减值测试,判断2019年度新增资产减值准备导致业绩情况与前期预告相比差异如下:(1)截止本公告披露日,公司已完成存货的全面盘查和价值评估工作,公司基于谨慎性原则,较公司于2020年2月3日披露的《2019年度业绩预告》补提存货跌价准备约12亿元;(2)根据中国证监会《会计监管风险提示第8号——商誉减值》的相关要求,公司已聘请外部评估机构对公司合并范围内的深圳市环球易购电子商务有限公司的商誉进行以商誉减值测试为目的的评估,计提商誉减值准备金额约1.71亿元。",首亏,620000000.0,2020-04-30
15,002586,ST围海,归属于上市公司股东的净利润,"预计2019年1-12月归属于上市公司股东的净利润亏损:100,000万元至150,000万元,同比上年下降:495.40%至693.10%。",-1250000000.0,-594.25,由于公司计提商誉减值准备及其他应收款坏账准备导致公司业绩大幅下滑。,首亏,252908300.0,2020-04-30
16,002575,群兴玩具,归属于上市公司股东的净利润,"预计2019年1-12月归属于上市公司股东的净利润亏损:18,000万元至22,000万元。",-200000000.0,-2989.42,"公司于2020年4月21日在证监会指定的信息披露网站上披露了《关于公司自查实际控制人及其关联方非经营性资金占用情况的提示性公告》(以下简称“《提示性公告》”)(公告编号:2020-027),2020年4月28日披露了《关于实际控制人非经营性资金占用事项的进展公告》(公告编号:2020-039)披露了关于公司在自查中发现存在实际控制人及其关联方占用上市公司资金的情形,截至2020年4月27日,披露日资金占用余额合计为29,393.00万元(不含利息)。实际控制人已出具承诺,将通过现金偿还、有价值的资产处置、股权转让等多种形式积极解决占用资金问题,也将尽最大努力敦促其关联方返还占用资金,并按照现行基准贷款年利率(4.35%)返还占用期间产生的利息。具体的返还计划为:《提示性公告》披露后的三个工作日返还现金人民币2,000万元(注:已于2020年4月23日偿还);2020年6月20日前再次返还现金不低于5,000万元;2020年9月20日前再次返还现金或等值的资产不低于5,000万元;2020年12月20日前采取现金或等值的资产方式将剩余的部分(含利息)全部返还,并争取提前偿还。公司应收实际控制人及其关联方的资金占用款预计无法在年报出具前得到偿还,且偿还时间及偿还金额存在较大不确定性,基于谨慎性原则,根据预期信用损失法,2019年度补充计提信用减值损失13,608.97万元,导致公司营业利润、利润总额、归属于上市公司股东的净利润均有所下降。根据会计师事务所在年审过程中的反馈意见,对收入按照谨慎性原则进行确认,部分项目因未能取得客户方的验收资料,无法确认为2019年度收入,涉及金额共计3,485.49万元,因此在本次业绩快报修正披露的2019年财务数据中调减营业收入3,485.49万元,归属于上市公司股东的净利润作相应的调减。",首亏,6921800.0,2020-04-30
17,002256,兆新股份,归属于上市公司股东的净利润,"预计2019年1-12月归属于上市公司股东的净利润亏损:27,657.43万元至33,803.53万元。",-307304800.0,-51.01,"本次业绩预告及业绩快报披露的经营业绩与公司于2020年1月20日、2月29日在《上海证券报》、《中国证券报》、《证券时报》、《证券日报》及巨潮资讯网(http://www.cninfo.com.cn)上披露的《2019年度业绩预告》(公告编号:2020-013)、《2019年度业绩快报》(公告编号:2020-018)存在较大差异,其中:营业利润、利润总额、归属于上市公司股东的净利润、基本每股收益、加权平均净资产收益率变动幅度较大,主要原因如下:(1)因受新冠疫情影响,参股公司财务核算、审计和评估工作进展受到较大影响,未能在业绩快报披露之前获取其审计报告和评估报告。现公司经与年度审计机构沟通,结合年度审计机构意见和评估报告结果,基于谨慎性原则,对金融资产计提了20,495.11万元资产减值损失和公允价值变动损失。其中:参股公司青海锦泰钾肥有限公司的股东权益经减值测试计提资产减值损失8,212.11万元,比预估减值金额增加3,212.11万元;参股公司深圳市乐途宝网络科技有限公司、中海物贸(深圳)有限公司的股东权益根据广东中广信资产评估有限公司出具的中广信评报字[2020]第054号、中广信评报字[2020]第052号评估报告,分别计提公允价值变动损失2,072.38万元、2,000.00万元,比预估金额分别增加572.38万元、500.00万元。(2)基于稳健性、谨慎性原则并经与审计机构充分沟通后,2019年度未对母公司本期可弥补亏损计提递延所得税资产,所得税费用比预估金额增加1,339.00万元,递延所得税资产比预估金额减少1,339.00万元。",增亏,-203497100.0,2020-04-30
18,000981,山子高科,归属于上市公司股东的净利润,"预计2019年1-12月归属于上市公司股东的净利润亏损:670,000万元–720,000万元,比上年同期下降:509.85%-555.36%。",-6950000000.0,-532.605,"本次业绩修正与前次业绩预告中预计亏损上限59.5亿元相比增加亏损7.5亿元-12.5亿元,差异主要原因如下:1、公司聘请评估机构对高端制造包含商誉资产组的可回收金额进行评估,报告期内受宏观经济下行及国内汽车市场持续低迷影响,2020年年初以来公司汽车零配件业务的实际经营业绩较前次业绩预告时的预期出现下滑,且预计2020年全年业绩下滑幅度较大,结合评估机构的初步结果预计需计提商誉减值准备46-51亿元,较前次业绩预告中计提的商誉减值准备上限43亿元增加计提商誉减值准备约3-8亿元;其次根据本次审计机构初审意见,高端制造板块应在合并层面调整无形资产摊销金额及折旧金额等需增加亏损约0.4亿元。2、前次业绩预告时,预计部分公司亏损在以后能实现盈利故确认递延所得税资产,而本次根据审计机构初审意见,由于目前未有明确的弥补亏损方案,未来能否产生足够的应纳税所得额存在不确定性,故在2019年度不予确认为递延所得税资产,导致亏损增加约2.7亿元。同时,根据评估机构的初步评估结果需增加计提房地产板块存货减值准备约1.35亿元。3、前次业绩预告时界定为与收益相关并直接计入当期损益的政府补贴0.2亿元,根据本次审计机构初审意见,应界定为与资产相关的政府补助并确认为递延收益,减少利润0.2亿元。",增亏,-1098626400.0,2020-04-30
19,000981,山子高科,每股收益,预计2019年1-12月每股收益亏损:1.6634元-1.7875元。,-1.72545,,"本次业绩修正与前次业绩预告中预计亏损上限59.5亿元相比增加亏损7.5亿元-12.5亿元,差异主要原因如下:1、公司聘请评估机构对高端制造包含商誉资产组的可回收金额进行评估,报告期内受宏观经济下行及国内汽车市场持续低迷影响,2020年年初以来公司汽车零配件业务的实际经营业绩较前次业绩预告时的预期出现下滑,且预计2020年全年业绩下滑幅度较大,结合评估机构的初步结果预计需计提商誉减值准备46-51亿元,较前次业绩预告中计提的商誉减值准备上限43亿元增加计提商誉减值准备约3-8亿元;其次根据本次审计机构初审意见,高端制造板块应在合并层面调整无形资产摊销金额及折旧金额等需增加亏损约0.4亿元。2、前次业绩预告时,预计部分公司亏损在以后能实现盈利故确认递延所得税资产,而本次根据审计机构初审意见,由于目前未有明确的弥补亏损方案,未来能否产生足够的应纳税所得额存在不确定性,故在2019年度不予确认为递延所得税资产,导致亏损增加约2.7亿元。同时,根据评估机构的初步评估结果需增加计提房地产板块存货减值准备约1.35亿元。3、前次业绩预告时界定为与收益相关并直接计入当期损益的政府补贴0.2亿元,根据本次审计机构初审意见,应界定为与资产相关的政府补助并确认为递延收益,减少利润0.2亿元。",增亏,-0.2727,2020-04-30
20,601113,华鼎股份,归属于上市公司股东的净利润,"预计2019年1-12月归属于上市公司股东的净利润亏损:132,000万元。",-1320000000.0,-605.75,"年审期间,经与公司年审会计师充分沟通,出于谨慎性原则,主要对以下事项进行了调整,具体原因如下:1、控股股东未能在承诺时间内归还占用的公司资金,出于谨慎性考虑,本期计提坏账准备57,850万元;2、公司涉嫌违规借款,被诉讼标的金额16,297.50万元,截至2019年12月31日,公司账户被冻结金额为10,754.76万元,出于谨慎性考虑,本期计提预计负债10,754.76万元。因公司违规担保,被诉讼标的金额3700万元,出于谨慎性考虑,本期计提预计负债3700万元。综上,本期计提预计负债14,455万元;3、根据中瑞世联资产评估集团有限公司初步评估结果,商誉减值本次预测比前期预测金额增加约1.2亿元。",首亏,260999600.0,2020-04-29
21,601113,华鼎股份,扣除非经常性损益后的净利润,"预计2019年1-12月扣除非经常性损益后的净利润亏损:69,000万元。",-690000000.0,-605.19,"年审期间,经与公司年审会计师充分沟通,出于谨慎性原则,主要对以下事项进行了调整,具体原因如下:1、控股股东未能在承诺时间内归还占用的公司资金,出于谨慎性考虑,本期计提坏账准备57,850万元;2、公司涉嫌违规借款,被诉讼标的金额16,297.50万元,截至2019年12月31日,公司账户被冻结金额为10,754.76万元,出于谨慎性考虑,本期计提预计负债10,754.76万元。因公司违规担保,被诉讼标的金额3700万元,出于谨慎性考虑,本期计提预计负债3700万元。综上,本期计提预计负债14,455万元;3、根据中瑞世联资产评估集团有限公司初步评估结果,商誉减值本次预测比前期预测金额增加约1.2亿元。",首亏,136581600.0,2020-04-29
22,600734,*ST实达,归属于上市公司股东的净利润,预计2019年1-12月归属于上市公司股东的净利润亏损:305000万元左右。,-3050000000.0,-1041.66,"(一)商誉减值影响。受新冠病毒疫情影响,2020年公司核心子公司深圳兴飞、东方拓宇及中科融通实际运营情况较业绩预告时点预计更不乐观,公司判断因收购深圳兴飞、东方拓宇及中科融通形成的商誉存在更大幅度减值迹象。经公司与评估机构、会计师沟通,预计对公司收购深圳兴飞、东方拓宇及中科融通形成的商誉全额计提减值。(二)主营业务影响。受宏观经济波动及行业竞争影响,再加上新冠疫情影响,公司除商誉以外资产减值增加。",增亏,-267155730.0,2020-04-29
23,600734,*ST实达,扣除非经常性损益后的净利润,预计2019年1-12月扣除非经常性损益后的净利润亏损:308000万元左右。,-3080000000.0,-830.48,"(一)商誉减值影响。受新冠病毒疫情影响,2020年公司核心子公司深圳兴飞、东方拓宇及中科融通实际运营情况较业绩预告时点预计更不乐观,公司判断因收购深圳兴飞、东方拓宇及中科融通形成的商誉存在更大幅度减值迹象。经公司与评估机构、会计师沟通,预计对公司收购深圳兴飞、东方拓宇及中科融通形成的商誉全额计提减值。(二)主营业务影响。受宏观经济波动及行业竞争影响,再加上新冠疫情影响,公司除商誉以外资产减值增加。",增亏,-331011787.0,2020-04-29
24,300173,ST福能,归属于上市公司股东的净利润,"预计2019年1-12月归属于上市公司股东的净利润亏损:14,639万元-15,139万元。",-148890000.0,82.15,"本次业绩预告及业绩快报修正后披露的经营业绩与公司分别于2020年1月22日、2020年2月27日在巨潮资讯网上披露的《2019年度业绩预告修正公告》(公告编号:2020-013)和《2019年度业绩快报》(公告编号:2020-025)的业绩情况存在重大差异。根据会计师事务所目前反馈的审计调整事项,经公司确认并对财务报表进行调整,判断2019年度补记商誉减值、坏账准备,并调减公司迁址补贴相关的其他收益,导致业绩情况与前期业绩预告、业绩快报相比存在重大差异。",减亏,-833999900.0,2020-04-27
25,603009,北特科技,扣除非经常性损益后的净利润,"预计2019年1-12月扣除非经常性损益后的净利润亏损:24,868万元至27,400万元。",-261340000.0,-604.235,"(一)公司2017年重大资产重组项目标的方上海光裕汽车空调压缩机有限公司(以下简称“上海光裕”)2019年度净利润为-3,470万元至-4,164万元,实现的扣除非经常性损益后归属于母公司股东的实际净利润为-4,073万元至-4,767万元,2019年业绩承诺未完成,同时因上海光裕汽车空调压缩机有限公司经评估显示资产组的可收回金额小于上海光裕汽车空调压缩机有限公司资产组账面价值,故本期计提商誉资产减值准备16,117万元;(二)报告期内,受国际经贸摩擦、国内经济增速放缓、汽车行业增速为负等因素影响,公司主要产品营业收入和总体毛利率大幅下降,同时上海光裕2019年产品质量问题较多,造成产品退回和索赔等增加;(三)非经营性损益的影响。上海光裕2019年度业绩承诺未完成,上海光裕原股东给予本公司的对赌补偿,按照《企业会计准则第22号——金融工具的确认和计量》中的金融工具,采用公允价值计量,计入公允价值变动损益,预计12,788.37万元。",首亏,51829200.0,2020-04-25
26,603009,北特科技,归属于上市公司股东的净利润,"预计2019年1-12月归属于上市公司股东的净利润亏损:12,662万元至15,195万元。",-139285000.0,-348.055,"(一)公司2017年重大资产重组项目标的方上海光裕汽车空调压缩机有限公司(以下简称“上海光裕”)2019年度净利润为-3,470万元至-4,164万元,实现的扣除非经常性损益后归属于母公司股东的实际净利润为-4,073万元至-4,767万元,2019年业绩承诺未完成,同时因上海光裕汽车空调压缩机有限公司经评估显示资产组的可收回金额小于上海光裕汽车空调压缩机有限公司资产组账面价值,故本期计提商誉资产减值准备16,117万元;(二)报告期内,受国际经贸摩擦、国内经济增速放缓、汽车行业增速为负等因素影响,公司主要产品营业收入和总体毛利率大幅下降,同时上海光裕2019年产品质量问题较多,造成产品退回和索赔等增加;(三)非经营性损益的影响。上海光裕2019年度业绩承诺未完成,上海光裕原股东给予本公司的对赌补偿,按照《企业会计准则第22号——金融工具的确认和计量》中的金融工具,采用公允价值计量,计入公允价值变动损益,预计12,788.37万元。",首亏,56150600.0,2020-04-25
27,300180,华峰超纤,归属于上市公司股东的净利润,"预计2019年1-12月归属于上市公司股东的净利润盈利:14,771.07万元至16,248.17万元,同比上年下降:45%至50%。",155096200.0,-47.5,"1、差异原因本次业绩快报和业绩预告修正公告与公司在中国证监会指定创业板信息披露网站(www.cninfo.com.cn)2020年2月28日披露的《2019年度业绩快报》(公告编号:2020-007)及2020年1月21日披露《2019年度业绩预告》(公告编号:2020-001)中的净利润存在重大差异,业绩快报中营业利润、利润总额及归属于上市公司股东的净利润等数据的修正幅度超过了20%。主要原因如下:威富通自2018年“断直连”政策后,其处理的交易流水快速下降,自2019年2月开始交易流水触底回升。由于管理层积极转型并大力开拓如花呗分期推广等客户增值服务作为新的业绩增长点,客户增值服务收入的快速增长为其带来了下半年单月利润的逐步回升并持续增长,威富通整体趋势较好。2020年2月,公司在出具业绩快报时,预计虽然会受到新冠疫情影响,但是在全国大力推动复工复产的整体背景下,公司预计与日常消费直接挂钩的公司交易流水也将快速得到恢复,甚至可能会出现短期的消费反弹,对一季度的业绩预期良好。但事实上,各地采取了较为严格的持续措施,与消费相关的第三产业复产复工的进度相对较慢,疫情对消费影响的持续时间超过了公司原预期,为此,根据2020年1季度威富通实际经营情况,公司调低了2020年威富通收入和利润的预测数据,也相应影响到了威富通预计未来现金净流量的现值,威富通预计需要计提的商誉减值准备金额从1,000万元增加到了约6,800万元,从而影响到了2019年的净利润。2、董事会对内部责任人的认定和处理情况针对此次修正事宜,公司将根据《年报信息披露重大差错责任追究制度》对相关责任人进行追责处理,并在日后工作中加强业务培训并完善财务流程,避免此类情况再次发生。",略减,295421300.0,2020-04-24
