序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
11,000908,ST景峰,每股收益,预计2022年1-12月每股收益亏损:0.114元至0.182元。,-0.148,,"2022年度业绩预告业绩变动主要原因披露如下:1、基于谨慎性原则,对公司及下属子公司2022年末存在可能发生减值迹象的资产补充计提资产减值损失,影响净利润约-4,500万元。2、因市场环境以及供应链受阻等因素影响,公司下游客户回款困难,造成公司预期信用损失计提不足。遵循谨慎性的原则,公司财务部门对财务数据再次测算,并与审计会计师充分沟通,对信用减值损失增加计提,影响净利润约-1,500万元左右。同时根据测算预计退货率调整收入,确认预计负债,影响净利润约-2,400万元。3、公司在出售持有的江苏璟泽生物医药有限公司股权交易中,部分交易合同包含了回购条款,基于谨慎性原则于2021年对该事项确认了衍生金融负债。根据最新情况测算,原考虑的部分不确定性因素没有发生,本期影响净利润约1,000万元。",减亏,-0.186,2023-04-27
12,000908,ST景峰,扣除非经常性损益后的净利润,"预计2022年1-12月扣除非经常性损益后的净利润亏损:11,500万元至18,200万元。",-148500000.0,68.88,"2022年度业绩预告业绩变动主要原因披露如下:1、基于谨慎性原则,对公司及下属子公司2022年末存在可能发生减值迹象的资产补充计提资产减值损失,影响净利润约-4,500万元。2、因市场环境以及供应链受阻等因素影响,公司下游客户回款困难,造成公司预期信用损失计提不足。遵循谨慎性的原则,公司财务部门对财务数据再次测算,并与审计会计师充分沟通,对信用减值损失增加计提,影响净利润约-1,500万元左右。同时根据测算预计退货率调整收入,确认预计负债,影响净利润约-2,400万元。3、公司在出售持有的江苏璟泽生物医药有限公司股权交易中,部分交易合同包含了回购条款,基于谨慎性原则于2021年对该事项确认了衍生金融负债。根据最新情况测算,原考虑的部分不确定性因素没有发生,本期影响净利润约1,000万元。",减亏,-477230200.0,2023-04-27
13,000571,新大洲A,每股收益,预计2022年1-12月每股收益亏损:0.0393元至0.0553元。,-0.0473,,"本次业绩预告修正是公司财务部基于审慎性原则,考虑到对部分业务的会计处理上存在着一些理解和判断上的差异,经与年审会计师深入沟通,基于谨慎性的原则对资产减值损失、投资收益等根据实际情况进行了适当调整,导致本次业绩预告与前次业绩预告有所差异而修正。",减亏,-0.1812,2023-04-27
14,000571,新大洲A,扣除非经常性损益后的净利润,"预计2022年1-12月扣除非经常性损益后的净利润亏损:2,600万元至3,700万元。",-31500000.0,67.87,"本次业绩预告修正是公司财务部基于审慎性原则,考虑到对部分业务的会计处理上存在着一些理解和判断上的差异,经与年审会计师深入沟通,基于谨慎性的原则对资产减值损失、投资收益等根据实际情况进行了适当调整,导致本次业绩预告与前次业绩预告有所差异而修正。",减亏,-98032400.0,2023-04-27
15,000571,新大洲A,归属于上市公司股东的净利润,"预计2022年1-12月归属于上市公司股东的净利润亏损:3,200万元至4,500万元。",-38500000.0,73.895,"本次业绩预告修正是公司财务部基于审慎性原则,考虑到对部分业务的会计处理上存在着一些理解和判断上的差异,经与年审会计师深入沟通,基于谨慎性的原则对资产减值损失、投资收益等根据实际情况进行了适当调整,导致本次业绩预告与前次业绩预告有所差异而修正。",减亏,-147479300.0,2023-04-27
16,688193,仁度生物,归属于上市公司股东的净利润,"预计2022年1-12月归属于上市公司股东的净利润盈利:2,200万元至2,500万元,同比上年下降:61.31%至65.95%,同比上年降低3,962万元至4,262万元。",23500000.0,-63.63,"公司业绩预告及业绩快报修正原因主要为期权费用调整;前期披露业绩预告、业绩快报时,未考虑激励对象是否满足期权激励条件。根据《上海仁度生物科技股份有限公司2020年股票期权激励计划》,激励对象获授的股票期权达成相应业绩考核指标时方可行权。本次业绩修正,主要系对报告期内未达成行权条件及已离职的激励对象所对应的期权费用进行冲回所作调整。",预减,64618900.0,2023-04-26
17,688193,仁度生物,扣除非经常性损益后的净利润,"预计2022年1-12月扣除非经常性损益后的净利润盈利:350万元至600万元,同比上年下降:89.54%至93.9%,同比上年降低5,137万元至5,387万元。",4750000.0,-91.72,"公司业绩预告及业绩快报修正原因主要为期权费用调整;前期披露业绩预告、业绩快报时,未考虑激励对象是否满足期权激励条件。根据《上海仁度生物科技股份有限公司2020年股票期权激励计划》,激励对象获授的股票期权达成相应业绩考核指标时方可行权。本次业绩修正,主要系对报告期内未达成行权条件及已离职的激励对象所对应的期权费用进行冲回所作调整。",预减,57371100.0,2023-04-26
18,300745,欣锐科技,扣除非经常性损益后的净利润,"预计2022年1-12月扣除非经常性损益后的净利润亏损:6,801.08万元,同比上年下降:207.71%。",-68010800.0,-207.71,"公司2023年1月30日披露2022年度业绩预告时,公司年度审计现场工作尚未全面开展,随着公司年度审计工作的深入,基于谨慎性原则,经公司与会计师事务所进一步沟通和确认,对公司2022年度业绩预告作出修正,修正原因主要如下:1、调减部分营业收入随着会计师事务所对公司年报审计工作的推进,公司对新能源汽车板块某项目研发业务收入确认的会计判断与前期预告产生差异,在与年审会计师事务所深入沟通和充分解释后,基于谨慎性原则及年审会计师的意见,公司对该项目的研发业务收入确认时点做出调整,调减2022年度归母净利润4,156.26万元;2、应收账款坏账准备计提业绩预告时,公司根据预期信用损失率计提应收账款坏账准备,因公司部分经营所在地位于上海的客户受经济下行影响,期后回款情况不及预期,经与年审会计师充分交流,基于谨慎性原则,公司对该应收账款单项计提坏帐比例,增加信用减值损失,对2022年度归母净利润影响为减少953.19万元。3、调整不确认当期可弥补亏损递延所得税资产公司存在较大金额的可抵扣亏损,主要系公司专注于新能源汽车领域,持续加大研发投入。2022年度,根据税收优惠政策,公司可享受研发费用加计扣除的优惠政策。公司本期新增可弥补亏损的金额为12,266.14万元,鉴于公司仍将保持持续研发投入,基于谨慎性的原则,公司未对2022年度产生的可抵扣亏损确认递延所得税资产。",增亏,-22102100.0,2023-04-26
19,300745,欣锐科技,归属于上市公司股东的净利润,"预计2022年1-12月归属于上市公司股东的净利润亏损:2,804.65万元,同比上年下降:210.12%。",-28046500.0,-210.12,"公司2023年1月30日披露2022年度业绩预告时,公司年度审计现场工作尚未全面开展,随着公司年度审计工作的深入,基于谨慎性原则,经公司与会计师事务所进一步沟通和确认,对公司2022年度业绩预告作出修正,修正原因主要如下:1、调减部分营业收入随着会计师事务所对公司年报审计工作的推进,公司对新能源汽车板块某项目研发业务收入确认的会计判断与前期预告产生差异,在与年审会计师事务所深入沟通和充分解释后,基于谨慎性原则及年审会计师的意见,公司对该项目的研发业务收入确认时点做出调整,调减2022年度归母净利润4,156.26万元;2、应收账款坏账准备计提业绩预告时,公司根据预期信用损失率计提应收账款坏账准备,因公司部分经营所在地位于上海的客户受经济下行影响,期后回款情况不及预期,经与年审会计师充分交流,基于谨慎性原则,公司对该应收账款单项计提坏帐比例,增加信用减值损失,对2022年度归母净利润影响为减少953.19万元。3、调整不确认当期可弥补亏损递延所得税资产公司存在较大金额的可抵扣亏损,主要系公司专注于新能源汽车领域,持续加大研发投入。2022年度,根据税收优惠政策,公司可享受研发费用加计扣除的优惠政策。公司本期新增可弥补亏损的金额为12,266.14万元,鉴于公司仍将保持持续研发投入,基于谨慎性的原则,公司未对2022年度产生的可抵扣亏损确认递延所得税资产。",首亏,25468300.0,2023-04-26
20,002800,天顺股份,归属于上市公司股东的净利润,"预计2022年1-12月归属于上市公司股东的净利润盈利:300万元至400万元,同比上年下降:90.03%至92.52%。",3500000.0,-91.275,"公司全资子公司海南天宇航空服务有限责任公司(以下简称“海南天宇”)开通海口至莫斯科货运航线,根据“琼交民航[2022]231号”海南省省交通运输厅、海南省财政厅关于《海南省航空货运发展财政补贴办法》等补贴办法文件通知,海南天宇在申请周期内执飞26周或执行率大于80%时,可按全额计算补贴。受俄乌战争等国内外环境影响,海南天宇在2022年12月31日已实际执飞19周。经公司与会计师事务所进一步沟通确认,从谨慎性原则出发,公司将海南天宇执飞该航线按实际执行率73%确认航班补贴,因此造成差异。",预减,40110200.0,2023-04-26
21,002800,天顺股份,扣除非经常性损益后的净利润,"预计2022年1-12月扣除非经常性损益后的净利润亏损:533.88万元至633.88万元,同比上年下降:116%至118.99%。",-5838800.0,-117.495,"公司全资子公司海南天宇航空服务有限责任公司(以下简称“海南天宇”)开通海口至莫斯科货运航线,根据“琼交民航[2022]231号”海南省省交通运输厅、海南省财政厅关于《海南省航空货运发展财政补贴办法》等补贴办法文件通知,海南天宇在申请周期内执飞26周或执行率大于80%时,可按全额计算补贴。受俄乌战争等国内外环境影响,海南天宇在2022年12月31日已实际执飞19周。经公司与会计师事务所进一步沟通确认,从谨慎性原则出发,公司将海南天宇执飞该航线按实际执行率73%确认航班补贴,因此造成差异。",首亏,33374400.0,2023-04-26
22,002800,天顺股份,每股收益,预计2022年1-12月每股收益盈利:0.0276元至0.0368元。,0.0322,,"公司全资子公司海南天宇航空服务有限责任公司(以下简称“海南天宇”)开通海口至莫斯科货运航线,根据“琼交民航[2022]231号”海南省省交通运输厅、海南省财政厅关于《海南省航空货运发展财政补贴办法》等补贴办法文件通知,海南天宇在申请周期内执飞26周或执行率大于80%时,可按全额计算补贴。受俄乌战争等国内外环境影响,海南天宇在2022年12月31日已实际执飞19周。经公司与会计师事务所进一步沟通确认,从谨慎性原则出发,公司将海南天宇执飞该航线按实际执行率73%确认航班补贴,因此造成差异。",预减,0.3798,2023-04-26
23,688280,精进电动,营业收入,"预计2022年1-12月营业收入:87,000万元至103,000万元,同比上年增长:18.16%至39.89%,同比上年增长13,368.18万元至29,368.18万元。",950000000.0,29.025,"本次更正涉及公司几项技术服务预收款,因为付款客户未履行合同中约定的履约义务,公司在诉讼中经法院裁定,获取了这些技术服务预收款的所有权,考虑到公司已经取得这些技术服务款,且经业务部门确认,相关客户的项目已经实质上终止,经与会计师沟通,公司基于谨慎性原则将这些技术服务预收款结转为营业收入,该项调整导致公司业绩预告中的财务指标出现更正,造成营业收入增加2,717万元。",略增,736318200.0,2023-04-25
24,300256,星星科技,扣除非经常性损益后的净利润,"预计2022年1-12月扣除非经常性损益后的净利润亏损:88,700万元至94,200万元。",-914500000.0,86.815,"公司2023年1月31日披露《2022年度业绩预告》时,年报审计工作尚未全面展开,随着会计师事务所对公司年报审计工作的深入,对子公司重整收益的确认时点与前次预告存在差异,部分重整收益在子公司纳入合并报表范围之前在子公司已确认。经与会计师事务所进一步沟通和确认后,公司对重整子(孙)公司重新获得控制权纳入本期合并范围按公允价值计量,同时将原冲回的信用减值损失约5.74亿元转回(属于经常性损益)。公司前次业绩预告确认的债务重整收益约19.30亿元,修正后确认的债务重整收益约13.30亿元,修正后非经常性损益预计约10.52亿元,主要为债务重整收益约13.30亿元、资产处置损失约2.57亿元、营业外支出约0.87亿元及所得税影响约0.52亿元。因此,公司对之前预计的扣除非经常性损益后的净利润进行修正。",减亏,-6937644400.0,2023-04-25
25,300044,*ST赛为,归属于上市公司股东的净利润,"预计2022年1-12月归属于上市公司股东的净利润亏损:18,780万元至26,500万元,同比上年增长:24.07%至46.19%。",-226400000.0,35.13,"随着会计师事务所对公司年报审计工作的深入,因公司部分业务活动的会计处理判断与前期预告时存在部分偏差,在与会计师事务所深入沟通后,基于谨慎性原则,公司对2022年度业绩作出修正,修正内容具体如下:公司对2022年部分未弥补亏损确认了递延所得税资产,在与年审会计师深入沟通后,基于谨慎性原则,公司不再确认上述递延所得税资产,调整后预计减少归属于上市公司股东净利润约1.29亿元。",减亏,-349013400.0,2023-04-25
26,300044,*ST赛为,扣除非经常性损益后的净利润,"预计2022年1-12月扣除非经常性损益后的净利润亏损:24,100万元至34,000万元,同比上年增长:48.74%至63.66%。",-290500000.0,56.2,"随着会计师事务所对公司年报审计工作的深入,因公司部分业务活动的会计处理判断与前期预告时存在部分偏差,在与会计师事务所深入沟通后,基于谨慎性原则,公司对2022年度业绩作出修正,修正内容具体如下:公司对2022年部分未弥补亏损确认了递延所得税资产,在与年审会计师深入沟通后,基于谨慎性原则,公司不再确认上述递延所得税资产,调整后预计减少归属于上市公司股东净利润约1.29亿元。",减亏,-663258200.0,2023-04-25
27,003003,天元股份,归属于上市公司股东的净利润,"预计2022年1-12月归属于上市公司股东的净利润亏损:300万元至400万元,同比上年下降:111.57%至115.42%。",-3500000.0,-113.495,"公司与东莞市安德标签材料有限公司(简称“安德标签”)于2022年年底达成股权合作协议并支付投资款850万元,由于双方期后对合作事项仍存在部分分歧,2023年3月双方决定终止合作并收回上述投资款项。鉴于公司原存在对安德标签的应收账款,经会计师的建议,公司认为上述投资款作为原应收账款的核算更为审慎,因此应按照原应收账款的预期信用损失计提坏账准备,从而导致差异。",首亏,25934800.0,2023-04-25
28,003003,天元股份,每股收益,预计2022年1-12月每股收益亏损:0.017元至0.0226元。,-0.0198,,"公司与东莞市安德标签材料有限公司(简称“安德标签”)于2022年年底达成股权合作协议并支付投资款850万元,由于双方期后对合作事项仍存在部分分歧,2023年3月双方决定终止合作并收回上述投资款项。鉴于公司原存在对安德标签的应收账款,经会计师的建议,公司认为上述投资款作为原应收账款的核算更为审慎,因此应按照原应收账款的预期信用损失计提坏账准备,从而导致差异。",首亏,0.147,2023-04-25
29,003003,天元股份,扣除非经常性损益后的净利润,"预计2022年1-12月扣除非经常性损益后的净利润亏损:200万元至300万元,同比上年下降:148.22%至172.34%。",-2500000.0,-160.28,"公司与东莞市安德标签材料有限公司(简称“安德标签”)于2022年年底达成股权合作协议并支付投资款850万元,由于双方期后对合作事项仍存在部分分歧,2023年3月双方决定终止合作并收回上述投资款项。鉴于公司原存在对安德标签的应收账款,经会计师的建议,公司认为上述投资款作为原应收账款的核算更为审慎,因此应按照原应收账款的预期信用损失计提坏账准备,从而导致差异。",首亏,4147300.0,2023-04-25
30,300535,达威股份,扣除非经常性损益后的净利润,预计2022年1-12月扣除非经常性损益后的净利润亏损:778万元至848万元。,-8130000.0,-113.185,"公司控股子公司威远达威木业有限公司(以下简称“威远木业”)为提升产能、提高生产效率、延伸产品线,于2022年启动生态木板生产线自动化和智能化改造项目,技改后板材生产工艺进行了优化调整,公司随后根据新工艺相应地调整了技改后威远木业ERP产品成本核算逻辑,但调整进度滞后于技改进度,导致部分产品的成本核算运算逻辑未及时更新。随着会计师事务所对公司年报审计工作的推进,将威远木业全年产品成本重新复算,并进行了相应的调整,公司由此补充确认了成本核算逻辑调整对威远木业净利润的影响。另外,报告期内公司因业务产生的未归还的员工借款,补充确认为2022年期间费用。同时,将公司原作为原材料购入的基础化学品进行外销的业务认定为其他业务收入,并从相应年度的营业收入中扣除。基于上述原因的影响,对公司前期发布的《2022年度业绩预告修正公告》进行修正。公司董事会对再次修正业绩预告给广大投资者带来的影响表示诚挚的歉意,公司今后将继续加强年度报告财务数据测算的准确性和及时性,并将严格按照相关法律法规的规定和要求,及时做好信息披露工作。",首亏,61653100.0,2023-04-24
31,300535,达威股份,营业收入,"预计2022年1-12月营业收入:50,000万元至52,000万元。",510000000.0,-19.025,"公司控股子公司威远达威木业有限公司(以下简称“威远木业”)为提升产能、提高生产效率、延伸产品线,于2022年启动生态木板生产线自动化和智能化改造项目,技改后板材生产工艺进行了优化调整,公司随后根据新工艺相应地调整了技改后威远木业ERP产品成本核算逻辑,但调整进度滞后于技改进度,导致部分产品的成本核算运算逻辑未及时更新。随着会计师事务所对公司年报审计工作的推进,将威远木业全年产品成本重新复算,并进行了相应的调整,公司由此补充确认了成本核算逻辑调整对威远木业净利润的影响。另外,报告期内公司因业务产生的未归还的员工借款,补充确认为2022年期间费用。同时,将公司原作为原材料购入的基础化学品进行外销的业务认定为其他业务收入,并从相应年度的营业收入中扣除。基于上述原因的影响,对公司前期发布的《2022年度业绩预告修正公告》进行修正。公司董事会对再次修正业绩预告给广大投资者带来的影响表示诚挚的歉意,公司今后将继续加强年度报告财务数据测算的准确性和及时性,并将严格按照相关法律法规的规定和要求,及时做好信息披露工作。",略减,629818200.0,2023-04-24
32,300535,达威股份,扣除后营业收入,"预计2022年1-12月扣除后营业收入:48,000万元至50,000万元。",490000000.0,,"公司控股子公司威远达威木业有限公司(以下简称“威远木业”)为提升产能、提高生产效率、延伸产品线,于2022年启动生态木板生产线自动化和智能化改造项目,技改后板材生产工艺进行了优化调整,公司随后根据新工艺相应地调整了技改后威远木业ERP产品成本核算逻辑,但调整进度滞后于技改进度,导致部分产品的成本核算运算逻辑未及时更新。随着会计师事务所对公司年报审计工作的推进,将威远木业全年产品成本重新复算,并进行了相应的调整,公司由此补充确认了成本核算逻辑调整对威远木业净利润的影响。另外,报告期内公司因业务产生的未归还的员工借款,补充确认为2022年期间费用。同时,将公司原作为原材料购入的基础化学品进行外销的业务认定为其他业务收入,并从相应年度的营业收入中扣除。基于上述原因的影响,对公司前期发布的《2022年度业绩预告修正公告》进行修正。公司董事会对再次修正业绩预告给广大投资者带来的影响表示诚挚的歉意,公司今后将继续加强年度报告财务数据测算的准确性和及时性,并将严格按照相关法律法规的规定和要求,及时做好信息披露工作。",略减,604985200.0,2023-04-24
33,300535,达威股份,归属于上市公司股东的净利润,预计2022年1-12月归属于上市公司股东的净利润亏损:170万元至240万元。,-2050000.0,-103.115,"公司控股子公司威远达威木业有限公司(以下简称“威远木业”)为提升产能、提高生产效率、延伸产品线,于2022年启动生态木板生产线自动化和智能化改造项目,技改后板材生产工艺进行了优化调整,公司随后根据新工艺相应地调整了技改后威远木业ERP产品成本核算逻辑,但调整进度滞后于技改进度,导致部分产品的成本核算运算逻辑未及时更新。随着会计师事务所对公司年报审计工作的推进,将威远木业全年产品成本重新复算,并进行了相应的调整,公司由此补充确认了成本核算逻辑调整对威远木业净利润的影响。另外,报告期内公司因业务产生的未归还的员工借款,补充确认为2022年期间费用。同时,将公司原作为原材料购入的基础化学品进行外销的业务认定为其他业务收入,并从相应年度的营业收入中扣除。基于上述原因的影响,对公司前期发布的《2022年度业绩预告修正公告》进行修正。公司董事会对再次修正业绩预告给广大投资者带来的影响表示诚挚的歉意,公司今后将继续加强年度报告财务数据测算的准确性和及时性,并将严格按照相关法律法规的规定和要求,及时做好信息披露工作。",首亏,65836500.0,2023-04-24
34,002124,天邦食品,归属于上市公司股东的净利润,"预计2022年1-12月归属于上市公司股东的净利润盈利:45,000万元至55,000万元,同比上年增长:110.09%至112.33%。",500000000.0,111.21,"由于2023年一季度生猪市场行情及北方地区疫病情况发生了较大变化,生猪实际市场价格与此前公司以生猪期货价格为参考依据所做的预计有一定程度差异,且一季度山东、河北等北方区域生猪疫病影响程度也超出了行业的预期,公司2022年末部分消耗性生物资产和生产性生物资产产生了在资产负债表日超出原有预期的减值。经公司与天职国际充分沟通,依据《企业会计准则讲解—第二章存货》(2010)“(三)确定存货的可变现净值应当考虑资产负债表日后事项等的影响:确定存货可变现净值时,应当以资产负债表日取得最可靠的证据估计的售价为基础并考虑持有存货的目的,资产负债表日至财务报告批准报出日之间存货售价发生波动的,如有确凿证据表明其对资产负债表日存货已经存在的情况提供了新的或进一步的证据,则在确定存货可变现净值时应当予以考虑,否则,不应予以考虑。”《企业会计准则29号—资产负债表日后事项》,“第四条企业发生的资产负债表日后调整事项,应当调整资产负债表日的财务报表。第五条企业发生的资产负债表日后调整事项,通常包括下列各项:”“(二)资产负债表日后取得确凿证据,表明某项资产在资产负债表日发生了减值或者需要调整该项资产原先确认的减值金额。”的规定,公司对2022年12月31日的生物资产重新测算计提减值。重新测算后的生物资产减值合计约6.18亿元,其中消耗性生物资产计提减值4.4亿元,生产性生物资产计提减值1.78亿元。",扭亏,-4462000000.0,2023-04-24
35,002124,天邦食品,扣除非经常性损益后的净利润,"预计2022年1-12月扣除非经常性损益后的净利润亏损:94,000万元至104,000万元,同比上年增长:78.8%至80.84%。",-990000000.0,79.82,"由于2023年一季度生猪市场行情及北方地区疫病情况发生了较大变化,生猪实际市场价格与此前公司以生猪期货价格为参考依据所做的预计有一定程度差异,且一季度山东、河北等北方区域生猪疫病影响程度也超出了行业的预期,公司2022年末部分消耗性生物资产和生产性生物资产产生了在资产负债表日超出原有预期的减值。经公司与天职国际充分沟通,依据《企业会计准则讲解—第二章存货》(2010)“(三)确定存货的可变现净值应当考虑资产负债表日后事项等的影响:确定存货可变现净值时,应当以资产负债表日取得最可靠的证据估计的售价为基础并考虑持有存货的目的,资产负债表日至财务报告批准报出日之间存货售价发生波动的,如有确凿证据表明其对资产负债表日存货已经存在的情况提供了新的或进一步的证据,则在确定存货可变现净值时应当予以考虑,否则,不应予以考虑。”《企业会计准则29号—资产负债表日后事项》,“第四条企业发生的资产负债表日后调整事项,应当调整资产负债表日的财务报表。第五条企业发生的资产负债表日后调整事项,通常包括下列各项:”“(二)资产负债表日后取得确凿证据,表明某项资产在资产负债表日发生了减值或者需要调整该项资产原先确认的减值金额。”的规定,公司对2022年12月31日的生物资产重新测算计提减值。重新测算后的生物资产减值合计约6.18亿元,其中消耗性生物资产计提减值4.4亿元,生产性生物资产计提减值1.78亿元。",减亏,-4905000000.0,2023-04-24
