symbol,fiscal_year,forecast_available,forecast_bad,forecast_severe_bad,forecast_yoy_min,forecast_yoy_mean,forecast_value_min,first_forecast_notice,last_forecast_notice
600179,2020,1,1,1,88.06,110.605,-450000000.0,2021-01-29,2021-01-29
600179,2021,1,0,0,17.94,163.2625,1385000000.0,2022-01-25,2022-01-25
600179,2023,1,1,1,-82.295,-79.08500000000001,325000000.0,2024-01-31,2024-01-31
600180,2020,1,1,0,-232.48,-78.41333333333333,-236000000.0,2021-01-30,2021-01-30
600180,2021,1,0,0,124.03,282.715,850000000.0,2022-01-19,2022-01-19
600182,2022,1,0,0,-1.835,1.3533333333333335,31815000.0,2023-01-31,2023-01-31
600182,2023,1,0,0,432.0,451.0,181000000.0,2024-01-31,2024-01-31
600183,2021,1,0,0,57.5,61.0,2530000000.0,2022-01-27,2022-01-27
600183,2023,1,1,0,-26.0,-25.25,1050000000.0,2024-01-30,2024-01-30
600185,2022,1,1,1,-918.665,-828.375,-2624290000.0,2023-01-31,2023-01-31
600185,2023,1,1,1,51.75,57.5475,-754155000.0,2024-01-27,2024-01-27
600186,2019,1,1,1,-3.63,58.485,-331500000.0,2020-01-22,2020-01-22
600186,2023,1,0,0,100.435,146.425,125000000.0,2024-01-10,2024-01-10
600187,2021,1,1,1,-427.39,-406.0325,-130000000.0,2022-01-29,2022-01-29
600187,2022,1,1,1,-21.475,32.807500000000005,-110000000.0,2023-01-21,2023-01-21
600187,2023,1,0,0,132.385,196.055,26250000.0,2024-01-30,2024-01-30
600188,2021,1,0,0,124.67,132.495,15704000000.0,2022-01-26,2022-01-26
600188,2022,1,0,0,89.0,89.0,30600000000.0,2023-01-21,2023-01-21
600189,2019,1,1,1,-3625.63,-2666.8450000000003,-1560000000.0,2020-06-24,2020-06-24
600189,2020,1,0,0,100.96,103.34,15000000.0,2021-01-28,2021-01-28
600189,2023,1,1,1,-1044.35,-992.125,-546256100.0,2024-01-27,2024-01-27
600191,2019,1,0,0,123.46,123.46,27350000.0,2020-01-22,2020-01-22
600191,2020,1,1,1,-594.49,-569.335,-118000000.0,2021-01-30,2021-01-30
600191,2021,1,0,0,9.29,74.07166666666667,7710000.0,2022-03-29,2022-03-29
600191,2022,1,1,1,-1828.04,-883.2783333333333,-150000000.0,2023-01-31,2023-01-31
600191,2023,1,0,0,108.85,110.48249999999999,15000000.0,2024-01-31,2024-01-31
600192,2020,1,1,1,-1693.81,-1169.28,-207000000.0,2021-01-30,2021-01-30
600192,2021,1,1,1,-14.42,12.535,-246000000.0,2022-01-29,2022-01-29
600192,2022,1,1,1,-1.56,15.885,-168000000.0,2023-01-31,2023-01-31
600192,2023,1,1,1,1.94,7.635,-152000000.0,2024-01-31,2024-01-31
600193,2020,1,0,0,22.5,106.0,24553800.0,2021-01-30,2021-01-30
600193,2021,1,1,0,-68.935,-54.5025,15500000.0,2022-01-28,2022-01-28
