event_id,symbol,fiscal_year,bad_news_realized,late_disclosure_q75,postponed,revision_count,predicted_bad_news_risk,risk_bucket,actual_disclosure,event_trading_date,window_day,abnormal_ret,stock_ret,market_ret
123,603335,2023,1,0,0,1,0.9952623361349455,top_20_risk,2024-04-09,2024-04-09,6,0.0038515496944928618,0.0193133047210301,0.015461755026537238
123,603335,2023,1,0,0,1,0.9952623361349455,top_20_risk,2024-04-09,2024-04-09,7,-0.022286433199689815,-0.021052631578947323,0.0012338016207424918
123,603335,2023,1,0,0,1,0.9952623361349455,top_20_risk,2024-04-09,2024-04-09,8,-0.020074199109371582,-0.027956989247312047,-0.007882790137940465
123,603335,2023,1,0,0,1,0.9952623361349455,top_20_risk,2024-04-09,2024-04-09,9,-0.02129900859554945,-0.02433628318584058,-0.003037274590291128
123,603335,2023,1,0,0,1,0.9952623361349455,top_20_risk,2024-04-09,2024-04-09,10,0.011524856829389196,0.0045351473922901064,-0.00698970943709909
123,603335,2023,1,0,0,1,0.9952623361349455,top_20_risk,2024-04-09,2024-04-09,11,0.027211376245090957,0.031602708803611934,0.004391332558520977
123,603335,2023,1,0,0,1,0.9952623361349455,top_20_risk,2024-04-09,2024-04-09,12,-0.011211545403026046,-0.008752735229759279,0.0024588101732667678
123,603335,2023,1,0,0,1,0.9952623361349455,top_20_risk,2024-04-09,2024-04-09,13,-0.013085328111193562,0.002207505518763808,0.01529283362995737
123,603335,2023,1,0,0,1,0.9952623361349455,top_20_risk,2024-04-09,2024-04-09,14,0.046208447694056964,0.05726872246696035,0.011060274772903389
123,603335,2023,1,0,0,1,0.9952623361349455,top_20_risk,2024-04-09,2024-04-09,15,-0.015447440960670744,-0.02083333333333326,-0.005385892372662515
123,603335,2023,1,0,0,1,0.9952623361349455,top_20_risk,2024-04-09,2024-04-09,16,0.0170766156707145,0.03191489361702127,0.014838277946306766
123,603335,2023,1,0,0,1,0.9952623361349455,top_20_risk,2024-04-09,2024-04-09,17,0.005876371266439362,0.006185567010309256,0.00030919574386989446
123,603335,2023,1,0,0,1,0.9952623361349455,top_20_risk,2024-04-09,2024-04-09,18,-0.00442819564173913,-0.012295081967213073,-0.007866886325473943
123,603335,2023,1,0,0,1,0.9952623361349455,top_20_risk,2024-04-09,2024-04-09,19,0.011287964919928672,0.020746887966804906,0.009458923046876233
123,603335,2023,1,0,0,1,0.9952623361349455,top_20_risk,2024-04-09,2024-04-09,20,-0.014695911190489075,-0.014227642276422814,0.00046826891406626103
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,-20,-0.007639965479451671,-0.0006798096532971698,0.006960155826154502
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,-19,-0.0013849778245518252,-0.0054421768707483276,-0.004057199046196502
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,-18,-0.01040975442170844,-0.01641586867305056,-0.006006114251342121
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,-17,0.021426723308630713,0.025730180806675884,0.004303457498045171
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,-16,-0.011834058181009022,0.0006779661016949046,0.012512024282703926
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,-15,-0.007035496620629633,-0.004742547425474308,0.002292949195155325
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,-14,-0.007989922171611208,-0.01497617426820963,-0.006986252096598422
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,-13,-0.006146205963612705,-0.008984105044920532,-0.0028378990813078264
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,-12,0.0006081780477660281,0.002789400278940146,0.002181222231174118
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,-11,0.02120447700943684,0.030598052851182223,0.009393575841745383
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,-10,0.02742976075978132,0.020242914979756943,-0.007186845780024376
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,-9,-0.010765240199879678,-0.008597883597883493,0.0021673566019961843
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,-8,-0.01481303358554431,-0.016010673782521745,-0.0011976401969774342
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,-7,-0.005515841663775167,-0.015593220338983027,-0.01007737867520786
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,-6,-0.03176300531152643,-0.037190082644628086,-0.00542707733310166
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,-5,-0.008677277807885964,-0.003576537911301858,0.0051007398965841055
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,-4,-0.020745991828125088,-0.03230437903804728,-0.011558387209922194
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,-3,0.012614572406882907,0.017804154302670572,0.005189581895787665
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,-2,0.004054744152497403,0.008746355685131046,0.004691611532633644
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,-1,0.021130342513185463,0.037572254335260125,0.016441911822074662
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,0,-0.013245825099442943,-0.017409470752089096,-0.004163645652646153
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,1,-0.006326909906908984,-0.0099220411055988,-0.003595131198689816
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,2,0.0009255171858215672,-0.007874015748031593,-0.00879953293385316
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,3,0.01236999089933477,0.011544011544011523,-0.0008259793553232475
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,4,-0.023239374739646768,-0.031383737517831634,-0.008144362778184866
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,5,-0.007231376947529067,-0.007363770250368162,-0.00013239330283909556
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,6,0.008106168375784262,0.0,-0.008106168375784262
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,7,-0.0017824746645311862,0.01928783382789323,0.021070308492424417
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,8,-0.016232651984618984,-0.026928675400291202,-0.010696023415672218
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,9,0.002488880725145748,0.017950635751682986,0.015461755026537238
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,10,0.0017052138090885016,0.0029390154298309934,0.0012338016207424918
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,11,-0.022153839898689576,-0.03003663003663004,-0.007882790137940465
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,12,-0.004515595500343306,-0.007552870090634434,-0.003037274590291128
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,13,0.008511779452319845,0.0015220700152207556,-0.00698970943709909
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,14,0.01460562792780129,0.018996960486322267,0.004391332558520977
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,15,0.031098236806598845,0.03355704697986561,0.0024588101732667678
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,16,0.015731697394573585,0.031024531024530955,0.01529283362995737
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,17,0.019030697935284335,0.030090972708187724,0.011060274772903389
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,18,0.010141327155271163,0.004755434782608647,-0.005385892372662515
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,19,0.002741167625025298,0.017579445571332064,0.014838277946306766
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,20,0.004341967046827655,0.0046511627906975495,0.00030919574386989446
125,600812,2023,0,0,0,0,0.16691139644740352,middle_60_risk,2024-03-30,2024-04-01,-20,-0.004898614708354954,-0.004032258064516014,0.0008663566438389392
125,600812,2023,0,0,0,0,0.16691139644740352,middle_60_risk,2024-03-30,2024-04-01,-19,-0.02922736230388734,-0.022267206477732837,0.006960155826154502
125,600812,2023,0,0,0,0,0.16691139644740352,middle_60_risk,2024-03-30,2024-04-01,-18,-8.358770328598109e-05,-0.0041407867494824835,-0.004057199046196502
125,600812,2023,0,0,0,0,0.16691139644740352,middle_60_risk,2024-03-30,2024-04-01,-17,-0.01062590238067429,-0.01663201663201641,-0.006006114251342121
125,600812,2023,0,0,0,0,0.16691139644740352,middle_60_risk,2024-03-30,2024-04-01,-16,-0.01064595221263298,-0.00634249471458781,0.004303457498045171
125,600812,2023,0,0,0,0,0.16691139644740352,middle_60_risk,2024-03-30,2024-04-01,-15,0.004509252313040779,0.017021276595744705,0.012512024282703926
125,600812,2023,0,0,0,0,0.16691139644740352,middle_60_risk,2024-03-30,2024-04-01,-14,0.016535502687689885,0.01882845188284521,0.002292949195155325
125,600812,2023,0,0,0,0,0.16691139644740352,middle_60_risk,2024-03-30,2024-04-01,-13,0.0008260878255511583,-0.006160164271047264,-0.006986252096598422
125,600812,2023,0,0,0,0,0.16691139644740352,middle_60_risk,2024-03-30,2024-04-01,-12,0.006970130486266601,0.004132231404958775,-0.0028378990813078264
125,600812,2023,0,0,0,0,0.16691139644740352,middle_60_risk,2024-03-30,2024-04-01,-11,0.010164456781171394,0.012345679012345512,0.002181222231174118
125,600812,2023,0,0,0,0,0.16691139644740352,middle_60_risk,2024-03-30,2024-04-01,-10,0.006866586759880722,0.016260162601626105,0.009393575841745383
125,600812,2023,0,0,0,0,0.16691139644740352,middle_60_risk,2024-03-30,2024-04-01,-9,-0.0008131542199756314,-0.008000000000000007,-0.007186845780024376
125,600812,2023,0,0,0,0,0.16691139644740352,middle_60_risk,2024-03-30,2024-04-01,-8,0.0018649014625200522,0.0040322580645162365,0.0021673566019961843
125,600812,2023,0,0,0,0,0.16691139644740352,middle_60_risk,2024-03-30,2024-04-01,-7,-0.002818424060050728,-0.004016064257028162,-0.0011976401969774342
125,600812,2023,0,0,0,0,0.16691139644740352,middle_60_risk,2024-03-30,2024-04-01,-6,-0.012100040679630886,-0.022177419354838745,-0.01007737867520786
125,600812,2023,0,0,0,0,0.16691139644740352,middle_60_risk,2024-03-30,2024-04-01,-5,-0.01312962369782611,-0.01855670103092777,-0.00542707733310166
125,600812,2023,0,0,0,0,0.16691139644740352,middle_60_risk,2024-03-30,2024-04-01,-4,-0.01980662224952512,-0.014705882352941013,0.0051007398965841055
125,600812,2023,0,0,0,0,0.16691139644740352,middle_60_risk,2024-03-30,2024-04-01,-3,-0.0012347897623593562,-0.01279317697228155,-0.011558387209922194
125,600812,2023,0,0,0,0,0.16691139644740352,middle_60_risk,2024-03-30,2024-04-01,-2,0.014248863028618386,0.01943844492440605,0.005189581895787665
