symbol,firm_name_schedule,fiscal_year,first_appointment,actual_disclosure,revision_count,delay_days,postponed,advanced,long_postponement,first_doy,actual_doy,actual_month,april_disclosure,after_apr20,name,industry,loss_current,negative_eps_current,large_profit_drop_current,revenue_drop_current,bad_news_realized,severe_bad_news,lag_size,lag_profitability,lag_leverage,lag_revenue_growth,lag_profit_growth,lag_eps,lag_book_value,lag_cashflow_ps,lag_liquidity,lag_margin,lag_inventory_turnover,forecast_available,forecast_bad,forecast_severe_bad,forecast_yoy_min,forecast_yoy_mean,forecast_value_min,first_forecast_notice,last_forecast_notice,days_forecast_to_report,industry_group,actual_doy_pct_year,first_doy_pct_year,late_disclosure_q75,late_disclosure_q67,initial_late_q75,predicted_bad_news_risk,risk_bucket,strata,event_id
000852,石化机械,2023,2024-04-26,2024-04-26,0,0.0,0,0,0,117.0,117,4,1,1,石化机械,机械行业,0,0,0,0,0,0,4.3633533694082605,2.06,69.28,11.51,16.93,0.0579,3.08,0.51,1.18,15.54,1.82,1,0,0,77.4,96.70500000000001,0.097,2024-01-30,2024-01-30,87.0,机械行业,0.6569897275569451,0.6712818222420723,0,0,0,0.0037671107868343444,bottom_20_risk,,60
605298,必得科技,2023,2024-04-30,2024-04-29,1,-1.0,0,1,0,121.0,120,4,1,1,必得科技,其他,0,0,0,0,0,0,1.1939224684724346,4.85,15.03,-23.66,-44.6,0.33,6.92,0.16,5.05,52.91,0.89,0,0,0,5.4,33.17,0.22,,,999.0,其他,0.8631085305940152,0.9537740062527914,1,1,1,0.020142465359432832,middle_60_risk,,61
603650,彤程新材,2023,2024-04-25,2024-04-25,0,0.0,0,0,0,116.0,116,4,1,1,彤程新材,其他,0,0,0,0,0,0,3.258096538021482,10.26,54.2,7.74,-8.71,0.5,5.01,0.17,1.12,23.99,6.31,0,0,0,5.4,33.17,0.22,,,999.0,其他,0.572577043322912,0.582402858418937,0,0,0,0.01049256082196679,middle_60_risk,,62
603596,伯特利,2023,2024-03-28,2024-03-28,0,0.0,0,0,0,88.0,88,3,0,0,伯特利,其他,0,0,0,0,0,0,4.03229183781909,18.11,47.17,58.61,38.51,1.71,11.09,1.91,2.13,22.44,6.49,1,0,0,31.555,38.555,858715000.0,2024-01-23,2024-01-23,65.0,其他,0.11188030370701206,0.11523001339883877,0,0,0,0.001144233572486308,bottom_20_risk,,63
603619,中曼石油,2023,2024-04-30,2024-04-30,0,0.0,0,0,0,121.0,121,4,1,1,中曼石油,其他,0,0,0,0,0,0,3.49620448524049,22.94,67.88,73.98,552.09,1.21,5.75,1.5,0.87,45.76,3.54,1,0,0,61.02,67.3925,825000000.0,2024-01-30,2024-01-30,91.0,其他,0.9419383653416704,0.9537740062527914,1,1,1,0.003445188894134003,bottom_20_risk,,64
603393,新天然气,2023,2024-04-27,2024-04-27,0,0.0,0,0,0,118.0,118,4,1,1,新天然气,其他,0,0,0,0,0,0,3.559909072816976,18.99,30.03,30.54,-10.21,2.18,12.26,4.33,2.35,53.07,60.53,0,0,0,5.4,33.17,0.22,,,999.0,其他,0.7791424743188924,0.7972309066547566,1,1,1,0.0018193088256916504,bottom_20_risk,,65
603488,展鹏科技,2023,2024-03-28,2024-03-28,0,0.0,0,0,0,88.0,88,3,0,0,展鹏科技,其他,0,0,0,0,0,0,1.7900914121273581,4.27,17.46,2.86,-42.4,0.14,3.37,0.2,4.56,24.72,5.67,1,0,0,51.245,78.3875,59318800.0,2024-01-11,2024-01-11,77.0,其他,0.11188030370701206,0.11523001339883877,0,0,0,0.0028925494219757247,bottom_20_risk,,66
002695,煌上煌,2023,2024-03-30,2024-03-30,0,0.0,0,0,0,90.0,90,3,0,0,煌上煌,食品行业,0,0,0,0,0,0,3.0223742045004123,1.32,20.52,-16.46,-78.68,0.06,4.58,0.75,4.15,28.16,2.24,1,0,0,-17.2,380.16166666666663,0.12,2024-01-27,2024-01-27,63.0,食品行业,0.20477891916033944,0.21281822242072354,0,0,0,0.002758738112865152,bottom_20_risk,,67
001378,德冠新材,2023,2024-04-25,2024-04-25,0,0.0,0,0,0,116.0,116,4,1,1,德冠新材,其他,0,0,0,0,0,0,2.6311691567662523,22.47,23.73,-1.95,-14.32,1.64,8.11,2.27,3.22,22.28,7.51,0,0,0,5.4,33.17,0.22,,,999.0,其他,0.572577043322912,0.582402858418937,0,0,0,0.0024526521969074743,bottom_20_risk,,68
002584,西陇科学,2021,2022-04-22,2022-04-22,0,0.0,0,0,0,112.0,112,4,1,1,西陇科学,化工行业,0,0,0,0,0,0,4.051089053551143,2.87,53.37,69.15,51.03,0.1,3.45,-0.11,1.54,8.46,9.32,1,0,0,210.5,275.5,0.285,2022-01-26,2022-01-26,86.0,化工行业,0.5132701421800948,0.5338862559241706,0,0,0,,not_test_year,2021_bad0_late0,69
002607,中公教育,2022,2023-04-28,2023-04-28,0,0.0,0,0,0,118.0,118,4,1,1,中公教育,汽车制造,1,1,0,1,1,1,4.250208060053033,-76.88,81.67,-38.3,-202.83,-0.38,0.31,-0.66,0.34,27.75,,1,1,1,55.69,56.3225,-1070000000.0,2023-01-31,2023-01-31,87.0,汽车制造,0.8015981735159817,0.7915525114155251,1,1,1,,not_test_year,2022_bad1_late1,70
000883,湖北能源,2023,2024-04-27,2024-04-27,0,0.0,0,0,0,118.0,118,4,1,1,湖北能源,电力行业,0,0,0,0,0,0,5.331655426158547,3.81,53.79,-9.06,-50.51,0.18,4.67,0.94,0.81,13.8,24.46,1,0,0,55.695,67.39,0.275,2024-01-17,2024-01-17,101.0,电力行业,0.7791424743188924,0.7972309066547566,1,1,1,0.002634309112119166,bottom_20_risk,,71
000898,鞍钢股份,2023,2024-03-29,2024-03-29,0,0.0,0,0,0,89.0,89,3,0,0,鞍钢股份,钢铁行业,1,1,1,0,1,1,7.179094532093744,0.26,39.34,-3.71,-98.45,0.011,6.18,0.65,0.81,2.33,7.87,1,1,1,-2554.3622,-1860.5898,-2643000000.0,2024-01-31,2024-01-31,58.0,钢铁行业,0.1498436802143814,0.1527467619472979,0,0,0,0.986215849949993,top_20_risk,,72
002633,申科股份,2023,2024-04-26,2024-04-30,1,4.0,1,0,0,117.0,121,4,1,1,申科股份,机械行业,1,1,0,0,1,1,1.1908875647772805,-8.63,33.51,7.77,-234.77,-0.2592,2.88,-0.02,1.84,20.23,1.13,1,1,1,17.245,42.04,-21450000.0,2024-01-27,2024-01-27,94.0,机械行业,0.9419383653416704,0.6712818222420723,1,1,0,0.945955323014957,middle_60_risk,,73
603353,和顺石油,2023,2024-04-27,2024-04-27,0,0.0,0,0,0,118.0,118,4,1,1,和顺石油,其他,0,0,0,0,0,0,3.7121075802331434,6.14,27.59,1.55,13.45,0.6,9.7,0.73,2.46,9.87,21.6,0,0,0,5.4,33.17,0.22,,,999.0,其他,0.7791424743188924,0.7972309066547566,1,1,1,0.0027327074915729703,bottom_20_risk,,74
601717,中创智领,2023,2024-03-29,2024-03-29,0,0.0,0,0,0,89.0,89,3,0,0,中创智领,机械行业,0,0,0,0,0,0,5.7727797905777205,15.74,57.93,9.39,30.31,1.446,9.99,1.27,1.76,20.66,3.61,0,0,0,5.4,33.17,0.22,,,999.0,机械行业,0.1498436802143814,0.1527467619472979,0,0,0,0.0028221157373623748,bottom_20_risk,,75
000877,天山股份,2023,2024-03-27,2024-03-27,1,0.0,0,0,0,87.0,87,3,0,0,天山股份,水泥行业,0,0,1,0,1,0,7.190532843975457,5.65,66.31,-22.03,-63.8,0.5259,9.44,1.76,0.51,16.06,10.2,1,1,1,-72.27,-65.8825,0.2124,2024-01-27,2024-01-27,60.0,Other,0.09267530147387226,0.09624832514515409,0,0,0,0.9914288546794706,top_20_risk,,76
600828,茂业商业,2023,2024-03-21,2024-03-21,0,0.0,0,0,0,81.0,81,3,0,0,茂业商业,商业百货,0,0,1,0,1,1,3.5579161895951237,4.8,62.48,-18.2,-16.51,0.1973,4.14,0.39,0.45,63.09,1.15,1,1,1,-254.5,-171.75,-37850000.0,2024-01-31,2024-01-31,50.0,商业百货,0.044439481911567665,0.04935238945958017,0,0,0,0.9803522212802485,top_20_risk,,77
000762,西藏矿业,2022,2023-04-27,2023-04-27,0,0.0,0,0,0,117.0,117,4,1,1,西藏矿业,有色金属,0,0,0,0,0,0,2.0068708488450007,6.71,9.83,68.18,388.89,0.27,4.14,0.76,5.33,55.84,1.51,1,0,0,386.35015000000067,539.0325,1.536,2023-01-14,2023-01-14,103.0,有色金属,0.7031963470319634,0.6965753424657535,0,1,0,,not_test_year,2022_bad0_late0,78
603259,药明康德,2023,2024-03-19,2024-03-19,0,0.0,0,0,0,79.0,79,3,0,0,药明康德,其他,0,0,0,0,0,0,5.977745874967044,20.62,27.46,71.84,72.91,3.01,15.74,3.59,1.66,37.3,4.26,0,0,0,5.4,33.17,0.22,,,999.0,其他,0.030817329164805715,0.03729343456900402,0,0,0,0.005863350802647851,middle_60_risk,,79
601886,江河集团,2023,2024-03-28,2024-03-28,0,0.0,0,0,0,88.0,88,3,0,0,江河集团,建筑建材,0,0,0,0,0,0,5.201586177588265,7.73,71.75,-13.15,148.72,0.43,5.6,-0.13,1.19,16.69,13.7,1,0,0,38.0,87.5,675000000.0,2024-01-23,2024-01-23,65.0,建筑建材,0.11188030370701206,0.11523001339883877,0,0,0,0.0041356896451046335,bottom_20_risk,,80
605028,世茂能源,2023,2024-03-20,2024-03-20,0,0.0,0,0,0,80.0,80,3,0,0,世茂能源,其他,0,0,0,0,0,0,1.6900958154515549,18.84,12.8,12.07,17.48,1.29,7.25,1.48,8.66,63.66,19.56,0,0,0,5.4,33.17,0.22,,,999.0,其他,0.03841000446627959,0.04332291201429209,0,0,0,0.002050358213742428,bottom_20_risk,,81
